mass,Sigma_double(pb),Sigma_double+(pb),Sigma_double-(pb),Sigma_Tb_Y43b(pb),Sigma_Bt_X53t(pb),Sigma_Tt(pb),Sigma_Bb(pb)
300,53.73,55.52573988,51.67697958,0,0,0,0
400,11.67,12.09735151,11.21427193,0,0,0,0
500,3.359,3.488615623,3.223886339,0,0,0,0
600,1.161,1.207236379,1.113611854,9.060,1.060,0.698,6.401
700,0.455,0.473924937,0.436478649,5.820,0.745,0.500,4.339
800,0.196,0.204502877,0.187935368,3.860,0.532,0.365,3.016
900,0.0903,0.094343384,0.086458268,2.720,0.388,0.271,2.219
1000,0.0440,0.046091736,0.042104422,1.950,0.285,0.203,1.653
1100,0.0224,0.023527368,0.021393245,1.350,0.212,0.152,1.192
1200,0.0118,0.012438183,0.011240277,0.982,0.159,0.116,0.896
1300,0.00639,0.006763965,0.006068652,0.716,0.120,0.0894,0.679
1400,0.00354,0.003765145,0.003348414,0.540,0.0917,0.0692,0.529
1500,0.00200,0.002138246,0.001884052,0.408,0.0706,0.0540,0.415
1600,0.001148,0.001230432,0.001075886,0.305,0.0541,0.0420,0.319
1700,0.000666,0.00072047,0.000620923,0.230,0.0420,0.0330,0.249
1800,0.000391,0.000426812,0.000362244,0.174,0.0324,0.0259,0.195
1900,0.000231,0.000254394,0.000212198,0.136,0.0252,0.0205,0.157
2000,0.000138,0.00015334,0.000125681,0.102,0.0198,0.0162,0.12
