mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(bH_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(bH_bj)(fb),kappaSinglet,sigmaDoublet1(bH_bj)(fb),kappaDoublet1
700,70,10,2.99916,28.5,-20.3,398.1380248446251,0.5882553971037894,1371.9946138552966,0.8014853853240554
700,140,20,1.42091,28.5,-20.3,754.5023284946133,0.8319187607233497,2600.0358323972414,1.133471501969105
700,210,30,0.897939,28.4,-20.3,1072.811366855593,1.018888235610369,3696.9375572278555,1.388213408905183
800,80,10,2.10107,29.8,-21,203.07914288859314,0.5082971110251425,724.6791466157507,0.6986147519407467
800,160,20,0.995344,29.7,-20.9,384.820318027108,0.7188406681268195,1373.214677300818,0.9879904570685195
800,240,30,0.62898,29.6,-20.9,547.1471553287638,0.8803964216360254,1952.470982283015,1.2100362452785014
900,90,10,1.49725,31,-21.6,110.47646721064814,0.4479494876365591,403.78524768365685,0.6193686390953278
900,180,20,0.713736,30.8,-21.5,210.65562010635276,0.6334962406737009,769.9343931627783,0.8759195295171793
900,270,30,0.451405,30.7,-21.4,299.76735156520544,0.7758712718109672,1095.6327384042547,1.072777951527899
1000,100,10,1.08794,32,-22.1,63.44330356159691,0.4006836727413165,235.8891220992145,0.5563936658305195
1000,200,20,0.51883,31.8,-22,121.02244310113923,0.5666522842122327,449.97464278815147,0.7868594682360043
1000,300,30,0.329932,31.6,-21.9,173.16008628799676,0.694004478951261,643.8280865598675,0.9637020982279594
1100,11,1,7.52633,31.9,-22.1,3.561906500972191,0.11466606443435438,13.41255409318702,0.15973208101386724
1100,110,10,0.800388,33,-22.6,37.87911532579796,0.3626059339401868,142.6358842296016,0.5051171914023581
1100,220,20,0.383709,32.7,-22.4,72.637558097056,0.5128022295751747,273.5207049673718,0.7143435826690213
1100,330,30,0.244425,32.5,-22.3,104.10878832712818,0.6280519007103674,392.02734676854647,0.8748886392853775
1200,12,1,5.56152,32.8,-22.5,2.181288588463839,0.10474799475805908,8.293369244637324,0.14626829076940417
1200,120,10,0.597527,33.9,-23,23.435658352375473,0.33124224377084477,89.10355522663603,0.4625409482910996
1200,360,30,0.183182,33.2,-22.7,64.66137415504835,0.5737283958242185,245.84580626771807,0.8011444230212734
1300,13,1,4.15913,33.6,-22.9,1.375081662823526,0.09643090831860213,5.267524636910606,0.13490740197181875
1300,130,10,0.449939,34.7,-23.4,14.875776142826854,0.30494130712566064,56.98462821808698,0.426614663446838
1300,260,20,0.21734,34.3,-23.2,28.742573432238487,0.4312521322648886,110.10416164785913,0.6033242429537518
1300,390,30,0.139218,33.9,-23,41.425131467751456,0.5281738372681095,158.68723036098388,0.7389182723438206
1400,14,1,3.13557,34.3,-23.3,0.8862766796434899,0.08935227659895761,3.4153437936066666,0.12519065122414016
1400,140,10,0.341976,35.5,-23.8,9.66603691825608,0.2825567081740695,37.24890878412644,0.39588759962802966
1400,280,20,0.166369,35,-23.6,18.80984508916818,0.39959552883926586,72.48536394959095,0.5598696125692894
1400,420,30,0.106862,34.6,-23.3,27.184329702751437,0.4894025745769007,104.7571642875637,0.6856974366422331
1500,15,1,2.38155,35.1,-23.7,0.5823697897667148,0.08325217507404413,2.255023653188341,0.11678408294096128
1500,150,10,0.26282,36.3,-24.2,6.426840845100376,0.26326649339707653,24.885696984357217,0.36930369654745293
1500,450,30,0.0828384,35.2,-23.6,18.231119830929398,0.4559909424942329,70.59364542127997,0.6396527658431875
1600,16,1,1.82424,35.8,-24,0.3898695902094653,0.0779391724772908,1.5155834758235072,0.10943869743694687
1600,160,10,0.203174,36.9,-24.5,4.342156959677338,0.24646530397694688,16.87975031338888,0.34607554806278357
1600,480,30,0.0646704,35.7,-23.9,12.438999315887148,0.42689042879097966,48.35550730902014,0.5994204325019861
1700,17,1,1.40611,36.5,-24.3,0.26495578143252313,0.07326903978953105,1.0333553118797176,0.10296498699865456
1700,170,10,0.158043,37.5,-24.8,2.978032057587263,0.23169704770842214,11.614637087810065,0.3256038781653729
1700,510,30,0.0509994,36.3,-24.1,8.648916010575872,0.40131105859469723,33.731678747331756,0.5639624601238926
1800,18,1,1.08896,37.1,-24.6,0.18231475266670313,0.0691309704650972,0.7129918122801717,0.09721613167519666
1800,180,10,0.123463,38.2,-25.1,2.067029671290881,0.2186113235275369,8.083686096784716,0.3074244014044619
1800,540,30,0.040432,36.7,-24.3,6.092248633409977,0.3786459194595714,23.825408149703126,0.532474682718977
1900,19,1,0.847851,37.8,-25,0.12697879509829374,0.06543838169593338,0.4977348401265982,0.0920765970818641
1900,190,10,0.0971722,38.8,-25.4,1.455303924044488,0.20693433255462157,5.7045388201169525,0.2911717659763038
1900,380,20,0.0488989,37.8,-24.9,2.9293465024547736,0.29264933961937006,11.482529913329818,0.41177906042381374
1900,570,30,0.0322656,37.3,-24.6,4.3490451860187225,0.3584207778149589,17.047502369909196,0.5043242924005131
2000,20,1,0.662161,38.5,-25.3,0.08924760100717091,0.062122607351889784,0.3505263673836567,0.08745420788416927
2000,200,10,0.0768016,39.3,-25.6,1.0351498432424038,0.19644893342029296,4.06562540790724,0.27655448787982984
2000,400,20,0.0389629,38.3,-25.1,2.1006041450839277,0.27782074595670747,8.25027375501286,0.3911071074948011
2000,600,30,0.0260035,37.5,-24.7,3.154331036577164,0.34025953377666307,12.38886185509993,0.4790064240690566
