MQ	G/MQ=1%(singlet)	G/MQ=1%(doublet)	G/MQ=1%(doublet2)	G/MQ=2%(singlet)	G/MQ=2%(doublet)	G/MQ=1%(doublet2)	G/MQ=3%(singlet)	G/MQ=3%(doublet)	G/MQ=1%(doublet2)	G/MQ=4%(singlet)	G/MQ=4%(doublet)	G/MQ=1%(doublet2)	G/MQ=5%(singlet)	G/MQ=5%(doublet)	G/MQ=1%(doublet2)
700	0.18602269007347919	0.2534519328961706	0.2738864112517675	0.2630758112110412	0.35843516091144006	0.38733387734194463	0.3222007505679046	0.43899162505270517	0.47438517979076555	0.37204538014695837	0.8351286516758256	0.547772822503535	0.41595938036167485	0.5667357509845525	0.6124286336724154
800	0.16073765989229347	0.22092138231262973	0.23430313113498702	0.2273173786037953	0.31243001508473256	0.33135466575758044	0.27840579362317847	0.38264705864382303	0.4058249274982708	0.32147531978458693	0.6986147519407467	0.46860626226997404	0.35942033406340973	0.49399522853425976	0.5239177285588784
900	0.14165406576369624	0.19586156108200467	0.20511699372746975	0.20032910096830955	0.2769900760297374	0.2900792344025848	0.24535203900142497	0.3392421750437871	0.3552730546317644	0.2833081315273925	0.3454673213465808	0.4102339874549395	0.31674812033685046	0.43795976475858966	0.45865554131502034
1000	0.12670730271040828	0.17594712597150422	0.18262156651445915	0.17919118594477265	0.24882681180946867	0.25826589614656836	0.2194634859844369	0.30474936162836685	0.3163098317608624	0.25341460542081656	0.4012211782990628	0.3652431330289183	0.28332614210611634	0.39342973411800214	0.40835423688383
1100	0.11466606443435438	0.15973208101386724	0.16470693467129546	0.16216230346701116	0.225895275315889	0.23293078082904542	0.19860744950426842	0.27666407991472614	0.28528077920961165	0.22933212886870877	0.3045971270981372	0.3294138693425909	0.25640111478758737	0.35717179133451066	0.36829590229063364
1200	0.10474799475805908	0.14626829076940417	0.15007720549419432	0.148136034818233	0.20685460055122276	0.21224121941294358	0.18142884891191674	0.25334411114886585	0.25994134497389965	0.20949598951611817	0.23885511862272193	0.30015441098838863	0.23422363678581173	0.3270658411130928	0.33558283335822336
1300	0.09643090831860213	0.13490740197181875	0.1378892828028202	0.13637389837612363	0.19078787753306486	0.1950048938456475	0.16702323262783517	0.2336664745323078	0.23883124363371805	0.19286181663720425	0.2481935213774462	0.2757785656056404	0.2156260661324443	0.3016621214768759	0.3083298097157987
1400	0.08935227659895761	0.12519065122414016	0.1275693277462226	0.12636320139515797	0.17704631684349895	0.18041027344152638	0.15476268284134223	0.21683656855284567	0.22095655714386364	0.17870455319791523	0.2318080424138483	0.2551386554924452	0.19979776441963293	0.2799348062846447	0.2852536886845038
1500	0.08325217507404413	0.11678408294096128	0.11871230854175392	0.11773635508677252	0.16515763396441183	0.16788455676036781	0.14419699706886369	0.2022759651690827	0.20561574987811063	0.16650435014808826	0.18092112333297947	0.23742461708350784	0.18615752274027625	0.26113714814596295	0.26544879166529073
1600	0.0779391724772908	0.10943869743694687	0.11102366371926257	0.11022263475752052	0.15476969016377592	0.15701117097613088	0.13499460663054155	0.18955338427494986	0.19229862640420423	0.1558783449545816	0.20474105533193532	0.22204732743852515	0.17427728776930293	0.2447123668380452	0.2482564591873483
1700	0.07326903978953105	0.10296498699865456	0.10428373935477359	0.10361806977240874	0.14561448106306668	0.14747947853050167	0.12690569953725345	0.17834058888233859	0.1806247349657379	0.1465380795790621	0.19343752796947228	0.20856747870954717	0.1638345536155283	0.23023671023137368	0.2331855301451438
1800	0.0691309704650972	0.09721613167519666	0.09832521603843415	0.09776595601175433	0.13748437189651178	0.13905285404481815	0.11973835322209182	0.1683832793767467	0.1703042698437542	0.1382619409301944	0.19443226335039332	0.1966504320768683	0.15458154931048762	0.21738187893531025	0.21986186696429136
1900	0.06543838169593338	0.0920765970818641	0.09301828295785973	0.0925438468941363	0.13021597237033514	0.13154771730766338	0.11334260186244188	0.15948134433383682	0.16111239211583128	0.13087676339186677	0.18893719067931924	0.18603656591571946	0.14632466980968503	0.20588953021190687	0.20799520384408457
2000	0.062122607351889784	0.08745420788416927	0.08826061094591095	0.08785463384702108	0.12367892687638825	0.12481935302304249	0.10759951223212497	0.15147513139107188	0.15287186246538753	0.12424521470377957	0.16125759151308655	0.1765212218918219	0.13891037297835374	0.19555355374740055	0.19735672581071886
