MQ	G/MQ=1%(singlet)	G/MQ=1%(doublet)	G/MQ=1%(doublet2)	G/MQ=2%(singlet)	G/MQ=2%(doublet)	G/MQ=1%(doublet2)	G/MQ=3%(singlet)	G/MQ=3%(doublet)	G/MQ=1%(doublet2)	G/MQ=4%(singlet)	G/MQ=4%(doublet)	G/MQ=1%(doublet2)	G/MQ=5%(singlet)	G/MQ=5%(doublet)	G/MQ=1%(doublet2)
600	0.22127620349551208	0.2974609808158621	0.3310982807661673	0.31293180801378206	0.42067335334659517	0.4682436791379287	0.38326162696017696	0.5152175320423442	0.573479044585707	0.44255240699102416	1.0304350640846884	0.6621965615323346	0.4947886328190416	0.6651429737580284	0.7403582630264612
650	0.20205726514449626	0.2736667101866655	0.2995944530882187	0.28575212474336303	0.38702317311600964	0.42369053876910884	0.34997344926868346	0.47400464638353185	0.5189128144146052	0.4041145302889925	0.8314591525989387	0.5991889061764374	0.45181378021079244	0.6119373671561184	0.6699135627871288
700	0.18196062965372217	0.24945937877399285	0.2659985466048654	0.25733119027424184	0.35278883672334765	0.3761787521801324	0.31516505553747093	0.43207631846112476	0.4607229974591048	0.36392125930744434	0.8219731144396468	0.5319970932097308	0.4068763371343867	0.5578081285635161	0.5947908321246249
800	0.15802464837853522	0.21825083667889272	0.2291052804396251	0.223480600926164	0.30865329323056545	0.3240037948090092	0.2737067198398298	0.3780215379222593	0.3968219860037468	0.31604929675707044	0.69016974514272	0.4582105608792502	0.35335385589490664	0.4880237069602086	0.5122949810671547
900	0.13975345806095826	0.1939878911328378	0.20150908159388245	0.1976412357783467	0.2743403065762147	0.28497687613141515	0.24206008989502598	0.33599688349521517	0.34902396750714687	0.2795069161219165	0.34216247819690715	0.4030181631877649	0.3124982323149686	0.433770111384854	0.4505880045274728
1000	0.1253245640045215	0.1745822099980372	0.18001397626472251	0.17723569811368928	0.24689652912829194	0.254578206650279	0.21706851229224888	0.3023852578142597	0.3117933529629973	0.250649128009043	0.3981086909985181	0.36002795252944503	0.2802342443646333	0.3903776892177546	0.4025234878279533
1100	0.1136288609745443	0.15870714058354793	0.1627604662956892	0.16069547626720745	0.22444579065870693	0.23017805885353268	0.19681096041409116	0.27488883101468153	0.2819093970877355	0.2272577219490886	0.30264264238510763	0.3255209325913784	0.25408185734495403	0.3548799548594288	0.3639434666867244
1200	0.10395010776979453	0.14547913879499677	0.1485853798701011	0.14700765221818826	0.2057385711262423	0.21013145938265523	0.18004686810954446	0.2519772598342989	0.257357427196937	0.20790021553958907	0.23756643884484993	0.2971707597402022	0.23243950724168966	0.3253012436537396	0.3322470098521749
1300	0.09580399635564343	0.13428690241668587	0.13672049783575732	0.13548731097569353	0.1899103586467495	0.19335198229372938	0.165937389256118	0.23259173777674375	0.23680684868764243	0.19160799271128687	0.24705196822802195	0.27344099567151464	0.21422424836736087	0.30027464229159034	0.30571632707836627
1400	0.08885075759234791	0.12469396424339865	0.12663644740398988	0.12565394641422264	0.17634389537908016	0.1790909814094696	0.15389402644093275	0.21597628146674336	0.21934076099373434	0.17770151518469582	0.2308883568337166	0.25327289480797976	0.19867633382884545	0.2788241804321675	0.2831677048243981
1500	0.08284470350857119	0.11638033606317565	0.11795575719154978	0.11716010327259929	0.1645866496540816	0.16681463158027743	0.1434912356148249	0.2015766550633607	0.20430536450102219	0.16568940701714238	0.18029564135948067	0.23591151438309957	0.18524638862098047	0.260234342681531	0.263757091417765
1600	0.07760361925420972	0.10910607262232529	0.11040157767026838	0.10974809083854124	0.15429928763975626	0.1561314084486802	0.13441341139952162	0.1889772611961671	0.19122114176066649	0.15520723850841944	0.20411877128460873	0.22080315534053677	0.17352696795242448	0.24396859514154812	0.24686543249394297
1700	0.07298942184893216	0.10268771156157992	0.1037659965263672	0.10322263028853097	0.1452223543794428	0.14674727960074796	0.1264213870574284	0.17786033373763444	0.17972797808168364	0.14597884369786432	0.1929166181274201	0.2075319930527344	0.1632093088926207	0.22961670350558377	0.2320278219859641
1800	0.06889551061579145	0.09698257433821751	0.09788969041876988	0.09743296549947182	0.13715407194296408	0.138436927806728	0.11933052479995175	0.1679787462026183	0.16954991734249777	0.1377910212315829	0.19396514867643502	0.19577938083753976	0.15405504508146808	0.21685962885318102	0.2188880020727793
1900	0.06523824710921508	0.09187802853813333	0.09264842368959574	0.09226081384729934	0.12993515404273043	0.13102465731431504	0.11299595858989396	0.1591374135273102	0.1604717770715478	0.13047649421843016	0.1885297366247736	0.18529684737919147	0.14587715526913406	0.20544551744993175	0.20716817337813792
2000	0.06195106839685448	0.0872839734594984	0.08794383607832325	0.08761204113033483	0.12343817904423589	0.12437136570908103	0.10730239804652654	0.15118027671834464	0.15232319230016475	0.12390213679370896	0.16094369474380357	0.1758876721566465	0.13852680021410554	0.19517289800172588	0.19664839567322928
