MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(bW_tj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(bW_tj)(fb)	kappaSinglet
700	7	1	335.079	26.9	-19.4	10.590880831863197	0.18196062965372217
700	70	10	39.2029	28.8	-20.4	123.90906089711665	0.5754100341841375
700	140	20	21.3835	29.6	-20.8	270.34830624198645	0.8137526742687734
700	210	30	15.4179	30.3	-21.2	438.5838188004176	0.9966394143918706
800	8	1	309.229	27.9	-20	5.559742701285824	0.15802464837853522
800	80	10	35.3808	29.6	-20.9	63.61245050291321	0.4997178153234052
800	80	10	35.3808	29.6	-20.8	63.61245050291321	0.4997178153234052
800	160	20	18.9522	30.3	-21.2	136.29944878819154	0.7067077117898133
800	240	30	13.433	31	-21.6	217.3651932248762	0.8655366455874591
900	9	1	281.919	28.8	-20.5	3.1006285708300703	0.13975345806095826
900	90	10	31.6478	30.4	-21.3	34.807186774894845	0.44193923835744675
900	180	20	16.7227	31	-21.6	73.56848087772727	0.6249964646299372
900	270	30	11.7248	31.6	-21.9	116.05753737967846	0.7654612146933903
900	270	30	11.7252	31.7	-21.9	116.06149676618838	0.7654612146933903
1000	10	1	254.079	29.6	-20.9	1.8071272213476113	0.1253245640045215
1000	100	10	28.2429	31.1	-21.7	20.087655178034552	0.3963110690218405
1000	200	20	14.6875	31.7	-21.9	41.78571399217254	0.5604684887292666
1000	300	30	10.197	32.2	-22.2	65.27319710984939	0.6864309071477639
1100	11	1	227.722	30.4	-21.3	1.0945478427747946	0.1136288609745443
1100	110	10	25.0166	31.8	-22	12.02425130798075	0.35932600861018005
1100	220	20	12.8978	32.3	-22.2	24.797356718350866	0.5081637146899081
1100	330	30	8.85162	32.8	-22.5	38.29085208480517	0.6223709033937637
1200	12	1	203.479	31.2	-21.7	0.6850062232903088	0.10395010776979453
1200	120	10	22.123	32.4	-22.3	7.447644561773702	0.32871910357251677
1200	360	30	7.71295	33.3	-22.8	23.368882660787044	0.569358188806095
1300	13	1	180.584	31.8	-22.1	0.4386204918860288	0.09580399635564343
1300	130	10	19.5241	33.1	-22.7	4.742208803455467	0.3029588374303041
1300	390	30	6.71996	33.8	-23	14.689900238055408	0.5247400990312865
1400	14	1	159.954	32.5	-22.4	0.2874185490351121	0.08885075759234791
1400	140	10	17.1698	33.6	-23	3.085211375284812	0.2809707658233178
1500	15	1	140.906	33.1	-22.7	0.19136549151227458	0.08284470350857119
1500	150	10	15.0232	34.2	-23.2	2.040312018002925	0.2619779551684276
1500	300	20	7.56867	34.5	-23.4	4.111626913386813	0.37049277724196095
1500	450	30	5.08393	34.8	-23.5	6.214070990146607	0.45375912881471814
1600	16	1	123.765	33.6	-23	0.12941985170532405	0.07760361925420972
1600	160	10	13.1829	34.7	-23.5	1.3785229774541394	0.2454041915158001
1600	320	20	6.59787	35	-23.6	2.7597312874269995	0.34705393590484895
1600	480	30	4.42737	35.4	-23.8	4.166691810771545	0.425052528095729
1700	17	1	108.189	34.3	-23.3	0.08853152552449418	0.07298942184893216
1700	170	10	11.5004	35.2	-23.8	0.9410826943052369	0.23081281814148397
1700	170	10	11.5004	35.3	-23.8	0.9410826943052369	0.23081281814148397
1700	340	20	5.75194	35.5	-23.9	1.8827349284136434	0.3264186177852414
1700	340	20	5.75194	35.5	-23.8	1.8827349284136434	0.3264186177852414
1700	510	30	3.85127	35.7	-23.9	2.8363597729533194	0.3997795280592057
1800	18	1	94.8598	34.9	-23.6	0.06161990783336975	0.06889551061579145
1800	180	10	10.0534	35.8	-24	0.6530580724521865	0.2178667341062107
1800	360	20	5.02115	35.9	-24.1	1.3046740567343573	0.30811009016293617
1800	360	20	5.02115	36	-24.1	1.3046740567343573	0.30811009016293617
1800	540	30	3.36008	36.2	-24.2	1.9644047101245636	0.37735625275105616
1900	19	1	82.4535	35.4	-23.9	0.04306191862367544	0.06523824710921508
1900	190	10	8.75589	36.2	-24.2	0.45728249577986796	0.2063014514220152
1900	190	10	8.75589	36.3	-24.3	0.45728249577986796	0.2063014514220152
1900	190	10	8.75589	36.3	-24.2	0.45728249577986796	0.2063014514220152
1900	380	20	4.37014	36.4	-24.3	0.9129345051650635	0.2917543105382681
1900	570	30	2.92598	36.5	-24.3	1.375302217480782	0.35732459553813295
1900	570	30	2.92598	36.6	-24.4	1.375302217480782	0.35732459553813295
2000	20	1	71.7605	35.9	-24.1	0.030475848431500613	0.06195106839685448
2000	200	10	7.62902	36.7	-24.5	0.323995592562603	0.1959064796149362
2000	200	10	7.62902	36.8	-24.5	0.323995592562603	0.1959064796149362
2000	400	20	3.81486	36.8	-24.5	0.6480506414943845	0.2770536004282111
2000	400	20	3.81486	36.9	-24.5	0.6480506414943845	0.2770536004282111
2000	600	30	2.55008	36.9	-24.5	0.9746903437320102	0.339319976225026
2000	600	30	2.55008	37	-24.6	0.9746903437320102	0.339319976225026
2000	600	30	2.55008	37	-24.5	0.9746903437320102	0.339319976225026
