MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tH_bj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(tH_bj)(fb)	kappaSinglet
600	6	1	67.969	26.6	-19.3	203.4022735243949	0.22127620349551208
600	60	10	6.39195	26.7	-19.3	1912.8384443706057	0.6997367950407302
600	120	20	2.99209	27	-19.5	3581.6204951646023	0.9895772656380832
600	180	30	1.87073	26.8	-19.4	5038.468443485447	1.2119796809359547
650	6.5	1	56.1735	27.1	-19.6	137.17016319462365	0.20205726514449626
650	65	10	5.33347	27.5	-19.8	1302.3809274722596	0.6389611756411595
650	130	20	2.48747	27.5	-19.8	2429.662854133927	0.9036275604215849
650	195	30	1.55749	27.4	-19.7	3422.913682191689	1.1067132202744294
700	70	10	4.47073	28.1	-20.1	832.6985763235618	0.5754100341841375
700	140	20	2.10381	28	-20	1567.3857216653846	0.8137526742687734
700	210	30	1.31065	28.1	-20.1	2197.0433243623042	0.9966394143918706
800	80	10	3.15699	29.2	-20.7	436.8738869300244	0.4997178153234052
800	160	20	1.4801	29.2	-20.7	819.2829752962525	0.7067077117898133
800	240	30	0.926409	29.1	-20.6	1153.7936789323417	0.8655366455874591
800	240	30	0.926409	29.2	-20.6	1153.7936789323417	0.8655366455874591
900	90	10	2.24895	30.3	-21.2	240.94540378149003	0.44193923835744675
900	180	20	1.06218	30.2	-21.2	455.1944489448377	0.6249964646299372
900	270	30	0.665384	30.1	-21.2	641.5842721926625	0.7654612146933903
900	270	30	0.665384	30.2	-21.2	641.5842721926625	0.7654612146933903
1000	100	10	1.63394	31.3	-21.7	139.76051430591963	0.3963110690218405
1000	200	20	0.773134	31.1	-21.6	264.5228232796623	0.5604684887292666
1000	300	30	0.486705	31	-21.6	374.6767139780919	0.6864309071477639
1100	11	1	12.3529	32.3	-22.3	8.639974982817256	0.1136288609745443
1100	110	10	1.20271	32.2	-22.2	84.12101054476392	0.35932600861018005
1100	220	20	0.570336	31.9	-22.1	159.56378734710265	0.5081637146899081
1100	330	30	0.360926	31.8	-22	227.1978603877204	0.6223709033937637
