mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tH_tj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tH_tj)(fb),kappaSinglet,sigmaDoublet2(tH_tj)(fb),kappaDoublet2
600,6,1,5.45888,26.1,-19,10.659066089285467,0.22127620349551208,53.4328097024953,0.3310982807661673
600,60,10,0.57625,26.9,-19.4,112.51917671666628,0.6997367950407302,564.0471413744744,1.0470246965870087
600,120,20,0.281796,27.1,-19.5,220.09512483852276,0.9895772656380832,1103.3143826517057,1.4807165260529225
600,180,30,0.181776,27.3,-19.6,319.4439441243186,1.2119796809359547,1601.3398673047773,1.813499971268087
650,6.5,1,4.60691,26.6,-19.3,7.340211671359483,0.20205726514449626,35.47690908121492,0.2995944530882187
650,65,10,0.486914,27.5,-19.8,77.58023980820835,0.6389611756411595,374.96290807440727,0.9474008461112374
650,130,20,0.236164,27.6,-19.8,150.5124909455526,0.9036275604215849,727.4610319069434,1.3398271255742575
650,195,30,0.152125,27.6,-19.8,218.14333912644364,1.1067132202744294,1054.3362719440652,1.6409464005984062
700,7,1,3.91073,27.1,-19.6,4.7526725971690045,0.18196062965372217,21.70427224862327,0.2659985466048654
700,70,10,0.413798,28,-20.1,50.28847338894117,0.5754100341841375,229.65493521505744,0.8411612615658234
700,140,20,0.200622,28.1,-20.1,97.52559566006747,0.8137526742687734,445.375109717449,1.1895816642492498
700,210,30,0.128545,28.2,-20.1,140.59755316853386,0.9966394143918706,642.0740139511934,1.45693404239074
800,80,10,0.299996,29,-20.6,27.087506549625342,0.4997178153234052,119.67683482633558,0.7244945101608381
800,160,20,0.144541,29,-20.6,52.20409984385654,0.7067077117898133,230.64586704667212,1.0245899621343093
800,240,30,0.092003,29,-20.6,74.764952818593,0.8655366455874591,330.3232393456783,1.2548613014032977
900,90,10,0.219738,29.9,-21,15.360830552479124,0.44193923835744675,66.39615675046909,0.6372276670453816
900,180,20,0.105659,29.8,-21,29.544457405535553,0.6249964646299372,127.70392969987552,0.9011760090549455
900,270,30,0.0673447,29.8,-21,42.36970723210313,0.7654612146933903,183.1402093293826,1.103710695311185
1000,100,10,0.163081,30.8,-21.5,9.101698312169354,0.3963110690218405,38.74382786019744,0.5692541756600129
