mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tZ_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tZ_bj)(fb),kappaSinglet
600,6,1,2535.83,26.8,-19.4,175.28071181628673,0.22127620349551208
600,60,10,253.024,27.2,-19.6,1748.943218851585,0.6997367950407302
600,120,20,126.419,27.7,-19.9,3495.3151129378793,0.9895772656380832
600,180,30,83.8381,28.2,-20.1,5215.523777537347,1.2119796809359547
650,6.5,1,2508.71,27.2,-19.6,120.56562163989257,0.20205726514449626
650,65,10,248.201,27.9,-20,1192.8245136601276,0.6389611756411595
650,130,20,123.607,28.3,-20.2,2376.1622178796574,0.9036275604215849
650,195,30,80.9772,28.8,-20.5,3502.5012101805764,1.1067132202744294
700,7,1,2469.3,28,-20.1,78.04745161027635,0.18196062965372217
700,70,10,245.338,28.5,-20.3,775.442663230955,0.5754100341841375
700,140,20,120.141,29,-20.6,1518.9242107334392,0.8137526742687734
700,210,30,78.7319,29.4,-20.8,2239.6394686314347,0.9966394143918706
800,8,1,2310.69,29.3,-20.7,41.54475117933357,0.15802464837853522
800,80,10,227.518,29.7,-20.9,409.06303739660524,0.4997178153234052
800,160,20,110.107,30,-21.1,791.8618106458038,0.7067077117898133
800,240,30,71.3061,30.4,-21.3,1153.83489947237,0.8655366455874591
900,9,1,2122.64,30.4,-21.3,23.345422726338914,0.13975345806095826
900,90,10,206.867,30.8,-21.5,227.51844698722098,0.44193923835744675
900,180,20,99.2438,31.1,-21.6,436.60506990695217,0.6249964646299372
900,270,30,63.5127,31.4,-21.8,628.6783189763837,0.7654612146933903
1000,10,1,1915.72,31.4,-21.8,13.625485618567632,0.1253245640045215
1000,100,10,185.332,31.7,-22,131.8166799250608,0.3963110690218405
1000,200,20,88.3913,32,-22.1,251.47190340060055,0.5604684887292666
1000,300,30,56.2742,32.3,-22.3,360.22329594969966,0.6864309071477639
1100,11,1,1711.85,32.3,-22.3,8.228022433730741,0.1136288609745443
1100,110,10,165.177,32.7,-22.5,79.39247372937714,0.35932600861018005
1100,220,20,78.1388,32.8,-22.5,150.2299382176708,0.5081637146899081
1100,330,30,49.556,33.1,-22.6,214.3722240578114,0.6223709033937637
1200,12,1,1518.83,33.2,-22.7,5.113097676517084,0.10395010776979453
1200,120,10,146.088,33.5,-22.9,49.18010661937335,0.32871910357251677
1200,240,20,68.8297,33.7,-22.9,92.68528515906796,0.4648790144833793
1200,360,30,43.3823,33.8,-23,131.44074293947995,0.569358188806095
1300,13,1,1340.59,34,-23.1,3.2561591570542863,0.09580399635564343
1300,130,10,128.645,34.3,-23.3,31.246585067712655,0.3029588374303041
1300,260,20,60.3773,34.4,-23.3,58.66017149858313,0.42844849673472174
1300,390,30,37.8919,34.6,-23.4,82.83207501687089,0.5247400990312865
1400,14,1,1180.15,34.8,-23.5,2.1205909239142975,0.08885075759234791
1400,140,10,112.739,35,-23.6,20.257874013572344,0.2809707658233178
1400,280,20,52.792,35.1,-23.7,37.94440911927587,0.3973526676576909
1400,420,30,33.0792,35.2,-23.7,53.49549308249903,0.4866556418475235
1500,15,1,1036.1,35.5,-23.9,1.4071351521998186,0.08284470350857119
1500,150,10,98.7895,35.8,-24,13.416675814906277,0.2619779551684276
1500,300,20,46.1189,35.8,-24,25.053769084369517,0.37049277724196095
1500,450,30,28.7947,35.9,-24,35.19566751311967,0.45375912881471814
1600,16,1,904.272,36.3,-24.2,0.9455883985074682,0.07760361925420972
1600,160,10,86.3068,36.4,-24.3,9.025017781409167,0.2454041915158001
1600,320,20,40.2088,36.5,-24.3,16.81837977860957,0.34705393590484895
1600,480,30,25.0281,36.6,-24.3,23.55447575178296,0.425052528095729
1700,17,1,788.672,37,-24.6,0.6453737006391952,0.07298942184893216
1700,170,10,75.2358,37.1,-24.6,6.156577977479908,0.23081281814148397
1700,340,20,35.0686,37.1,-24.6,11.478714678972084,0.3264186177852414
1700,510,30,21.7314,37.1,-24.6,16.00460854989595,0.3997795280592057
1800,18,1,687.118,37.6,-24.9,0.4463444771193842,0.06889551061579145
1800,180,10,65.4827,37.8,-24.9,4.253685901383093,0.2178667341062107
1800,360,20,30.4377,37.6,-24.8,7.908801277927039,0.30811009016293617
1800,540,30,18.8932,37.6,-24.8,11.045537924491503,0.37735625275105616
1900,19,1,597.218,38.3,-25.2,0.31190128880634777,0.06523824710921508
1900,190,10,56.9714,38.3,-25.2,2.9753713192003515,0.2063014514220152
1900,380,20,26.4418,38.2,-25.1,5.5237661948298165,0.2917543105382681
1900,570,30,16.4335,38.2,-25.1,7.724259561230914,0.35732459553813295
2000,20,1,519.214,38.9,-25.5,0.22050413761767493,0.06195106839685448
2000,200,10,49.3861,39,-25.5,2.097370138478595,0.1959064796149362
2000,400,20,22.9571,38.8,-25.4,3.8998451796004927,0.2770536004282111
2000,600,30,14.2689,38.7,-25.3,5.45385205392681,0.339319976225026
