MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(tZ_tj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(tZ_tj)(fb)	kappaSinglet	sigmaDoublet2(tZ_tj)(fb)	kappaDoublet2
700	7	1	202.86	27.2	-19.6	4.183617555784805	0.18196062965372217	19.10553957976422	0.2659985466048654
700	70	10	19.638	28.2	-20.2	40.499793729913215	0.5754100341841375	184.9524727730503	0.8411612615658234
700	140	20	8.81383	28.4	-20.3	72.70766818831261	0.8137526742687734	332.03781507308156	1.1895816642492498
700	210	30	5.43044	28.6	-20.3	100.79362963458749	0.9966394143918706	460.29940707868155	1.45693404239074
800	8	1	197.226	28.1	-20.1	2.31371215972298	0.15802464837853522	10.222341708254467	0.2291052804396251
800	80	10	19.2585	29.3	-20.7	22.592673191174086	0.4997178153234052	99.81795898533595	0.7244945101608381
800	160	20	8.66287	29.4	-20.8	40.650599124049386	0.7067077117898133	179.6006962858575	1.0245899621343093
800	240	30	5.30919	29.5	-20.9	56.055204258828375	0.8655366455874591	247.660647869159	1.2548613014032977
900	9	1	186.78	29	-20.6	1.3403754174406681	0.13975345806095826	5.793682575744755	0.20150908159388245
900	90	10	18.2783	30.2	-21.2	13.116920437201921	0.44193923835744675	56.69700622349038	0.6372276670453816
900	180	20	8.22539	30.3	-21.3	23.610901712950625	0.6249964646299372	102.0565343649323	0.9011760090549455
900	270	30	5.05532	30.4	-21.3	32.65030511707112	0.7654612146933903	141.12874750472534	1.103710695311185
1000	10	1	173.066	29.8	-21	0.8031606035929368	0.1253245640045215	3.4188692156596288	0.18001397626472251
1000	100	10	17.0382	31	-21.6	7.9070475981054456	0.3963110690218405	33.65847565105329	0.5692541756600129
1000	200	20	7.70074	31.1	-21.7	14.294964895501757	0.5604684887292666	60.85036442466746	0.8050469756559065
1000	200	20	7.70074	31.2	-21.7	14.294964895501757	0.5604684887292666	60.85036442466746	0.8050469756559065
1000	300	30	4.72867	31.2	-21.7	19.75023000619781	0.6864309071477639	84.07216821681844	0.985977154663881
1000	300	30	4.72867	31.3	-21.8	19.75023000619781	0.6864309071477639	84.07216821681844	0.985977154663881
1100	11	1	158.342	30.6	-21.4	0.4965884006038455	0.1136288609745443	2.0904397715409835	0.1627604662956892
1100	110	10	15.6784	31.8	-22.1	4.917022381950038	0.35932600861018005	20.698709700602603	0.5146937865254464
1100	220	20	7.10752	31.8	-22.1	8.916173823899761	0.5081637146899081	37.53354759955783	0.7278869333734488
1100	220	20	7.10752	31.8	-22	8.916173823899761	0.5081637146899081	37.53354759955783	0.7278869333734488
1100	330	30	4.36577	31.9	-22.1	12.322641292479723	0.6223709033937637	51.87342156383288	0.8914757886020827
1100	330	30	4.36583	31.9	-22.1	12.322810645990684	0.6223709033937637	51.874134474795625	0.8914757886020827
1200	12	1	143.522	31.2	-21.8	0.31525652567865586	0.10395010776979453	1.3160385924378197	0.1485853798701011
1200	120	10	14.2767	32.6	-22.4	3.1359811319215667	0.32871910357251677	13.091155483240914	0.4698682273908531
1200	240	20	6.48772	32.6	-22.5	5.7002997917418385	0.4648790144833793	23.79590556689761	0.6644940197043498
1200	360	30	3.98454	32.6	-22.5	7.877099072928669	0.569358188806095	32.882955726654934	0.8138356427032839
1300	13	1	128.808	32	-22.2	0.20413767819262366	0.09580399635564343	0.846687587557994	0.13672049783575732
1300	130	10	12.893	33.3	-22.8	2.043310264065508	0.3029588374303041	8.474895244383285	0.4323481759931147
1300	260	20	5.88174	33.3	-22.8	3.728603028795364	0.42844849673472174	15.464866316512506	0.6114326541567325
1300	390	30	3.61292	33.3	-22.8	5.153249722580319	0.5247400990312865	21.373773887926415	0.7488490073798053
1400	14	1	114.918	32.6	-22.5	0.13473438101988322	0.08885075759234791	0.555992284462947	0.12663644740398988
1400	140	10	11.5987	33.9	-23.1	1.3598771864593182	0.2809707658233178	5.611642832106703	0.40045960858872515
1400	280	20	5.27985	34	-23.1	2.4761214835894463	0.3973526676576909	10.217914906704571	0.5663354096487963
1400	420	30	3.25906	33.9	-23.1	3.4389450619223645	0.4866556418475235	14.191084017661554	0.6936163884548179
1500	15	1	102.108	33.2	-22.8	0.09048250038772164	0.08284470350857119	0.3718623184084898	0.11795575719154978
1500	150	10	10.3527	34.5	-23.4	0.917399402362171	0.2619779551684276	3.7703010770826713	0.3730088558550835
1500	300	20	4.72819	34.5	-23.4	1.675944895632942	0.37049277724196095	6.887749031518932	0.52751418283553
1500	450	30	2.92854	34.5	-23.4	2.3356001441308454	0.45375912881471814	9.598780766999633	0.6460702900141403
1600	16	1	90.1476	33.8	-23.1	0.06150747596244596	0.07760361925420972	0.25194231707602915	0.11040157767026838
1600	160	10	9.17583	35.1	-23.7	0.6260645243583748	0.2454041915158001	2.5644386220994697	0.3491204427140339
1600	320	20	4.218	35	-23.6	1.151172226923832	0.34705393590484895	4.715345470879719	0.49373086498788593
1600	480	30	2.61885	35	-23.6	1.608151166329735	0.425052528095729	6.58718838179944	0.6046943447416464
1700	17	1	79.3676	34.4	-23.4	0.04237686003156226	0.07298942184893216	0.17310488524125203	0.1037659965263672
1700	170	10	8.14779	35.7	-24	0.43503615631134457	0.23081281814148397	1.7770755987579594	0.32813689270044066
1700	340	20	3.74884	35.6	-23.9	0.8006494738947475	0.3264186177852414	3.270566417469172	0.4640556439719282
1700	510	30	2.33021	35.5	-23.9	1.1197552239545103	0.3997795280592057	4.574078858050593	0.5683497699949402
1800	18	1	69.7357	34.9	-23.6	0.029557295214464846	0.06889551061579145	0.12046165247444778	0.09788969041876988
1800	180	10	7.18832	36.3	-24.3	0.30467507508498787	0.2178667341062107	1.2417125026566334	0.3095543811720746
1800	360	20	3.32343	36.1	-24.2	0.5634508674013964	0.30811009016293617	2.296361087266086	0.4377760041455586
1800	540	30	2.07304	36	-24.1	0.7907873548878808	0.37735625275105616	3.2228778321729954	0.536163915895576
1900	19	1	61.0393	35.4	-23.9	0.02080005627224005	0.06523824710921508	0.08460723743587958	0.09264842368959574
1900	19	1	61.0393	35.5	-23.9	0.02080005627224005	0.06523824710921508	0.08460723743587958	0.09264842368959574
1900	190	10	6.33941	36.8	-24.5	0.21602489663675903	0.2063014514220152	0.8787125132060641	0.2929800404834234
1900	380	20	2.9447	36.6	-24.4	0.4013802629116996	0.2917543105382681	1.6326722755826797	0.41433634675627584
1900	570	30	1.84027	36.4	-24.3	0.5643896243977843	0.35732459553813295	2.2957364313239768	0.507456315720876
1900	570	30	1.84027	36.5	-24.4	0.5643896243977843	0.35732459553813295	2.2957364313239768	0.507456315720876
1900	570	30	1.84027	36.5	-24.3	0.5643896243977843	0.35732459553813295	2.2957364313239768	0.507456315720876
2000	20	1	53.2306	36	-24.2	0.014750352370372057	0.06195106839685448	0.05990027482767415	0.08794383607832325
2000	20	1	53.2306	36.1	-24.2	0.014750352370372057	0.06195106839685448	0.05990027482767415	0.08794383607832325
2000	200	10	5.5729	37.3	-24.8	0.1544266619667003	0.1959064796149362	0.6271171874582383	0.27810282817999155
2000	200	10	5.5729	37.4	-24.8	0.1544266619667003	0.1959064796149362	0.6271171874582383	0.27810282817999155
2000	400	20	2.60194	37	-24.6	0.2884020232465225	0.2770536004282111	1.171182899197967	0.39329679134645856
2000	400	20	2.60194	37.1	-24.6	0.2884020232465225	0.2770536004282111	1.171182899197967	0.39329679134645856
2000	600	30	1.63126	36.8	-24.5	0.40682415428200674	0.339319976225026	1.6520878983865002	0.48168822813634304
2000	600	30	1.63126	36.9	-24.6	0.40682415428200674	0.339319976225026	1.6520878983865002	0.48168822813634304
2000	600	30	1.63126	36.9	-24.5	0.40682415428200674	0.339319976225026	1.6520878983865002	0.48168822813634304
