mass,G/MQ=1%,G/MQ=2%,G/MQ=3%,G/MQ=4%,G/MQ=5%
700,0.2738864112517675,0.38733387734194463,0.47438517979076555,0.9259050631270223,0.19664839567322928
800,0.23430313113498702,0.33135466575758044,0.4058249274982708,0.7029093934049612,0.19664839567322928
900,0.20511699372746975,0.2900792344025848,0.3552730546317644,0.5469786499399194,0.19664839567322928
1000,0.18262156651445915,0.25826589614656836,0.3163098317608624,0.5034529152036784,0.19664839567322928
1100,0.16470693467129546,0.23293078082904542,0.28528077920961165,0.3846725242130534,0.19664839567322928
1200,0.15007720549419432,0.21224121941294358,0.25994134497389965,0.3572552072641688,0.19664839567322928
1300,0.1378892828028202,0.1950048938456475,0.23883124363371805,0.2023661420321195,0.19664839567322928
1400,0.1275693277462226,0.18041027344152638,0.22095655714386364,0.2551386554924452,0.19664839567322928
1500,0.11871230854175392,0.16788455676036781,0.20561574987811063,0.23742461708350784,0.19664839567322928
1600,0.11102366371926257,0.15701117097613088,0.19229862640420423,0.19229862640420423,0.19664839567322928
1700,0.10428373935477359,0.14747947853050167,0.1806247349657379,0.18238696923241277,0.19664839567322928
1800,0.09832521603843415,0.13905285404481815,0.1703042698437542,0.13905285404481815,0.19664839567322928
1900,0.09301828295785973,0.13154771730766338,0.16111239211583128,0.17071886118525567,0.19664839567322928
2000,0.08826061094591095,0.12481935302304249,0.15287186246538753,0.11164182330682675,0.19664839567322928
