mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(bW_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigma(bW_bj)(fb),kappa
700,7,1,432.38,27.7,-19.9,107.5107770874522,0.2738864112517675
700,70,10,46.0939,28.8,-20.5,1146.1193875737342,0.8661048797251538
700,140,20,23.2099,29.3,-20.7,2308.445705279667,1.2248572673448308
700,210,30,15.6174,29.8,-21,3494.923282938661,1.500137656367298
800,8,1,420.453,28.6,-20.4,55.99307093404104,0.23430313113498702
800,80,10,44.1387,29.7,-20.9,587.8091867667392,0.7409315572956717
800,160,20,21.8901,30.1,-21.1,1166.0698551831024,1.0478354571177568
800,240,30,14.5225,30.5,-21.4,1740.6070009624154,1.2833311021672342
900,9,1,398.638,29.4,-20.8,31.180977650687588,0.20511699372746975
900,90,10,41.3257,30.5,-21.4,323.24457981903896,0.6486368869852752
900,180,20,20.2458,30.8,-21.5,633.4407029137122,0.9173110826300407
900,270,30,13.2572,31.2,-21.7,933.2657980915677,1.1234720439218087
1000,10,1,370.892,30.3,-21.3,18.228888267808287,0.18262156651445915
1000,100,10,38.0352,31.3,-21.8,186.9383569998116,0.5775001000536278
1000,200,20,18.4346,31.6,-21.9,362.4152191600128,0.81670847376766
1000,300,30,11.9478,31.9,-22.1,528.4977840490164,1.0002595146689937
1100,11,1,339.594,31.1,-21.7,11.043634101452952,0.16470693467129546
1100,110,10,34.67,32,-22.2,112.74722000311378,0.5208490599858504
1100,220,20,16.6274,32.3,-22.3,216.28994818341766,0.7365918045812673
1100,330,30,10.7122,32.6,-22.4,313.5257263067837,0.9021370349699827
1200,12,1,307.912,31.8,-22,6.902239327871347,0.15007720549419432
1200,120,10,31.1872,32.7,-22.5,69.91007767355256,0.4745857942347898
1200,240,20,14.8925,32.9,-22.6,133.5337358600171,0.6711656667164467
1200,360,30,9.52657,33.2,-22.7,192.19517103051322,0.8220067081650847
1300,13,1,276.478,32.4,-22.4,4.416590073208101,0.1378892828028202
1300,130,10,27.9465,33.3,-22.8,44.64305821110908,0.4360441985839982
1300,260,20,13.2814,33.5,-22.9,84.8653410373427,0.6166596194315974
1300,390,30,8.44618,33.7,-23,121.43093942402626,0.7552507062931381
1400,14,1,247.624,33,-22.7,2.8978924560663737,0.1275693277462226
1400,140,10,24.8778,33.9,-23.1,29.113974793851995,0.4034096352545779
1400,280,20,11.7779,34.1,-23.2,55.13373107340833,0.5705073773690076
1400,420,30,7.45044,34.3,-23.3,78.47186251469019,0.6987259845237579
1500,15,1,219.874,33.7,-23,1.9295735685676008,0.11871230854175392
1500,150,10,22.0693,34.5,-23.4,19.367609611317835,0.37540128128860434
1500,300,20,10.3947,34.6,-23.5,36.48878607418731,0.5308975833305815
1500,450,30,6.55766,34.8,-23.5,51.793930464210014,0.6502140924183184
1600,16,1,194.951,34.3,-23.3,1.3088568431084697,0.11102366371926257
1600,160,10,19.4951,35.1,-23.7,13.088568431084699,0.3510876515294707
1600,320,20,9.15678,35.1,-23.7,24.590618491495366,0.4965129183746966
1600,480,30,5.76718,35.3,-23.8,34.84758584256801,0.6081016503590803
1700,17,1,171.698,34.8,-23.6,0.8972967200138025,0.10428373935477359
1700,170,10,17.1519,35.6,-23.9,8.963612629153943,0.32977413928042254
1700,340,20,8.04902,35.7,-24,16.82572713794103,0.4663710602902876
1700,510,30,5.05816,35.8,-24,23.790628542991232,0.5711855642559872
1800,18,1,150.955,35.4,-23.9,0.623464315921743,0.09832521603843415
1800,180,10,15.0926,36.1,-24.2,6.23344542047663,0.31093163410957
1800,360,20,7.06368,36.2,-24.2,11.669576811871341,0.4397237339285827
1800,360,20,7.06436,36.2,-24.2,11.670700208207537,0.4397237339285827
1800,540,30,4.42835,36.2,-24.2,16.460709370811472,0.5385493879581914
1900,19,1,132.543,36,-24.1,0.43846459641692526,0.09301828295785973
1900,190,10,13.2464,36.6,-24.4,4.382032570544775,0.2941496381848609
1900,380,20,6.19105,36.7,-24.5,8.192228151307896,0.41599040768816914
1900,570,30,3.88069,36.7,-24.5,11.553915764712423,0.5094821183641814
2000,20,1,115.948,36.6,-24.4,0.3109105371516942,0.08826061094591095
2000,200,10,11.5445,37.2,-24.7,3.0956176011209595,0.27910455826706687
2000,400,20,5.42183,37.2,-24.7,5.815379575827677,0.3947134516214377
2000,600,30,3.39436,37.1,-24.7,8.19167266186223,0.483423275542628
