MQ	kL	G/MQ(%)
700	0.05	0.033327216114651524
700	0.1	0.1333088644586061
700	0.2	0.5332354578344244
700	0.3	1.199779780127455
700	0.4	2.1329418313376975
800	0.05	0.04553903505326044
800	0.1	0.18215614021304177
800	0.2	0.7286245608521671
800	0.3	1.6394052619173753
800	0.4	2.9144982434086684
900	0.05	0.05942055765241366
900	0.1	0.23768223060965463
900	0.2	0.9507289224386185
900	0.3	2.1391400754868917
900	0.4	3.802915689754474
1000	0.05	0.07496108794767861
1000	0.1	0.29984435179071445
1000	0.2	1.1993774071628578
1000	0.3	2.6985991661164292
1000	0.4	4.797509628651431
1100	0.05	0.09215443467781353
1100	0.1	0.36861773871125414
1100	0.2	1.4744709548450166
1100	0.3	3.3175596484012866
1100	0.4	5.897883819380066
1200	0.05	0.11099682084712424
1200	0.1	0.44398728338849697
1200	0.2	1.7759491335539879
1200	0.3	3.9958855504964723
1200	0.4	7.1037965342159515
1300	0.05	0.131485839395236
1300	0.1	0.525943357580944
1300	0.2	2.103773430323776
1300	0.3	4.733490218228495
1300	0.4	8.415093721295104
1400	0.05	0.15361989885143865
1400	0.1	0.6144795954057546
1400	0.2	2.4579183816230183
1400	0.3	5.530316358651789
1400	0.4	9.831673526492073
1500	0.05	0.17739791350548528
1500	0.1	0.7095916540219411
1500	0.2	2.8383666160877645
1500	0.3	6.386324886197471
1500	0.4	11.353466464351058
1600	0.05	0.2028191224305787
1600	0.1	0.8112764897223148
1600	0.2	3.2451059588892592
1600	0.3	7.30148840750083
1600	0.4	12.980423835557037
1700	0.05	0.2298829796712711
1700	0.1	0.9195319186850844
1700	0.2	3.6781276747403377
1700	0.3	8.275787268165761
1700	0.4	14.712510698961351
1800	0.05	0.2585890853696253
1800	0.1	1.0343563414785013
1800	0.2	4.137425365914005
1800	0.3	9.309207073306512
1800	0.4	16.54970146365602
1900	0.05	0.2889371412949931
1900	0.1	1.1557485651799724
1900	0.2	4.6229942607198895
1900	0.3	10.401737086619748
1900	0.4	18.491977042879558
2000	0.05	0.32092692138424733
2000	0.1	1.2837076855369893
2000	0.2	5.134830742147957
2000	0.3	11.553369169832898
2000	0.4	20.53932296859183
