mass,G/MQ=1%,G/MQ=2%,G/MQ=3%,G/MQ=4%,G/MQ=5%
700,0.24945937877399285,0.35278883672334765,0.43207631846112476,0.7303422778297062,0.19664839567322928
800,0.21825083667889272,0.30865329323056545,0.3780215379222593,0.6547525100366782,0.19664839567322928
900,0.1939878911328378,0.2743403065762147,0.33599688349521517,0.40896238298169907,0.19664839567322928
1000,0.1745822099980372,0.24689652912829194,0.3023852578142597,0.3981086909985181,0.19664839567322928
1100,0.15870714058354793,0.22444579065870693,0.27488883101468153,0.3706600241255594,0.19664839567322928
1200,0.14547913879499677,0.2057385711262423,0.2519772598342989,0.31427085851935377,0.19664839567322928
1300,0.13428690241668587,0.1899103586467495,0.23259173777674375,0.29795588448405536,0.19664839567322928
1400,0.12469396424339865,0.17634389537908016,0.21597628146674336,0.2748121125519749,0.19664839567322928
1500,0.11638033606317565,0.1645866496540816,0.2015766550633607,0.1699843608315554,0.19664839567322928
1600,0.10910607262232529,0.15429928763975626,0.1889772611961671,0.18093195261876033,0.19664839567322928
1700,0.10268771156157992,0.1452223543794428,0.17786033373763444,0.1725498688489118,0.19664839567322928
1800,0.09698257433821751,0.13715407194296408,0.1679787462026183,0.13715407194296408,0.19664839567322928
1900,0.09187802853813333,0.12993515404273043,0.1591374135273102,0.11153569633589183,0.19664839567322928
2000,0.0872839734594984,0.12343817904423589,0.15118027671834464,0.17014778778149892,0.19664839567322928
