MQ	sigmaHat(Ybj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	kappaDoublet1[Gamma/MQ=1%]	BRdoublet1(Wb)(%)
700	50.9587	27.9	-20	0.24945937877399285	100
800	34.9723	29.1	-20.7	0.21825083667889272	100
900	24.5265	30.3	-21.3	0.1939878911328378	100
1000	17.572	31.3	-21.8	0.1745822099980372	100
1100	12.7958	32.3	-22.3	0.15870714058354793	100
1200	9.44201	33.2	-22.7	0.14547913879499677	100
1300	7.0287	34	-23.1	0.13428690241668587	100
1400	5.29377	34.8	-23.5	0.12469396424339865	100
1500	4.01804	35.6	-23.9	0.11638033606317565	100
1500	4.01804	35.7	-23.9	0.11638033606317565	100
1600	3.08212	36.3	-24.2	0.10910607262232529	100
1700	2.37006	37	-24.6	0.10268771156157992	100
1800	1.83569	37.7	-24.9	0.09698257433821751	100
1900	1.4261	38.4	-25.2	0.09187802853813333	100
2000	1.11294	38.9	-25.5	0.0872839734594984	100
