mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(bW_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigma(bW_bj)(fb),kappa
700,7,1,3906.72,28,-20,668.5226002298805,0.24945937877399285
700,70,10,390.061,28.5,-20.3,6674.770497201422,0.7888598206164796
700,140,20,195.356,28.9,-20.5,13371.820974168455,1.1156162571270323
700,210,30,129.345,29.4,-20.7,19920.30402845879,1.366345289357413
800,8,1,3499.82,29.2,-20.7,350.89230120423,0.21825083667889272
800,80,10,348.873,29.7,-20.9,3497.8041670149714,0.69016974514272
800,240,30,112.32,30.4,-21.3,10135.092931674544,1.1954090644340543
900,9,1,3105.37,30.4,-21.3,194.31946324321808,0.1939878911328378
900,90,10,305.037,30.7,-21.5,1908.7782167445916,0.6134435744725486
900,270,30,97.4948,31.5,-21.8,5490.689832291937,1.0625154385631166
1000,10,1,2743.28,31.3,-21.8,112.60937458419664,0.1745822099980372
1000,100,10,270.119,31.8,-22,1108.8161490372338,0.5520774225396178
1000,200,20,130.563,32,-22.1,2143.8012559908525,0.7807553784355092
1000,300,30,84.4369,32.2,-22.2,3119.4584040803406,0.9562261455502892
1100,11,1,2414.91,32.3,-22.3,67.70040706964208,0.15870714058354793
1100,110,10,236.105,32.7,-22.5,661.9047753820159,0.5018760451765559
1200,12,1,2112.56,33.2,-22.7,41.813488299048714,0.14547913879499677
1200,120,10,205.467,33.5,-22.8,406.6768281298824,0.4600454306319533
1300,13,1,1853.19,34,-23.1,26.62925609858936,0.13428690241668587
1300,130,10,180.504,34.3,-23.3,259.37368768554603,0.4246524715654968
1400,14,1,1614.53,34.8,-23.5,17.247744482114136,0.12469396424339865
1400,140,10,155.936,35,-23.6,166.58372923159993,0.39431693748473423
1500,15,1,1407.78,35.6,-23.9,11.411892728340609,0.11638033606317565
1500,150,10,136.13,35.8,-24,110.35111715672952,0.3680269368154687
1500,300,20,64.5831,35.8,-24,209.41209827208638,0.520468685363062
1600,16,1,1225.22,36.3,-24.2,7.672099598452448,0.10910607262232529
1600,160,10,118.295,36.4,-24.3,74.0741272586909,0.3450236960422881
1600,320,20,55.9994,36.5,-24.3,140.26312801083174,0.48793719028309623
1600,320,20,55.9994,36.6,-24.4,140.26312801083174,0.48793719028309623
1600,480,30,35.4644,36.6,-24.3,199.86432485547198,0.5975985713604439
1700,17,1,1064.34,37,-24.6,5.229482910740495,0.10268771156157992
1700,170,10,102.139,37.1,-24.6,50.18454206551695,0.32472705624499837
1700,340,20,48.3706,37,-24.6,95.06481991929803,0.45923340701116755
1800,18,1,921.811,37.7,-24.9,3.603472234883713,0.09698257433821751
1800,180,10,89.0513,37.8,-24.9,34.811245150068714,0.3066858282553644
1800,360,20,41.8982,37.7,-24.9,65.51408060507187,0.43371925770636205
1900,19,1,798.678,38.3,-25.2,2.5149123572098144,0.09187802853813333
1900,190,10,77.2811,38.3,-25.2,24.3346121176203,0.2905438371064519
1900,380,20,36.4692,38.2,-25.1,45.93432734471522,0.4108910348998635
2000,20,1,691.59,38.9,-25.5,1.773745069182007,0.0872839734594984
2000,200,10,66.4705,38.9,-25.4,17.047921690750673,0.2760161593617015
2000,400,20,31.6398,38.8,-25.4,32.45908080793813,0.39034579600345176
