mass,mass1,sigma(Bbj)(pb)_G/MQ=1%(doublet),sigma(Bbj)(pb)_G/MQ=1%(doublet)_Down,sigma(Bbj)(pb)_G/MQ=1%(doublet)_Up,sigma(Bbj)(pb)_G/MQ=1%(singlet),sigma(Bbj)(pb)_G/MQ=1%(singlet)_Down,sigma(Bbj)(pb)_G/MQ=1%(singlet)_Up,sigma(Bbj)(pb)_G/MQ=2%(doublet),sigma(Bbj)(pb)_G/MQ=2%(doublet)_Down,sigma(Bbj)(pb)_G/MQ=2%(doublet)_Up,sigma(Bbj)(pb)_G/MQ=2%(singlet),sigma(Bbj)(pb)_G/MQ=2%(singlet)_Down,sigma(Bbj)(pb)_G/MQ=2%(singlet)_Up,sigma(Bbj)(pb)_G/MQ=3%(doublet),sigma(Bbj)(pb)_G/MQ=3%(doublet)_Down,sigma(Bbj)(pb)_G/MQ=3%(doublet)_Up,sigma(Bbj)(pb)_G/MQ=3%(singlet),sigma(Bbj)(pb)_G/MQ=3%(singlet)_Down,sigma(Bbj)(pb)_G/MQ=3%(singlet)_Up,sigma(Bbj)(pb)_G/MQ=4%(doublet),sigma(Bbj)(pb)_G/MQ=4%(doublet)_Down,sigma(Bbj)(pb)_G/MQ=4%(doublet)_Up,sigma(Bbj)(pb)_G/MQ=4%(singlet),sigma(Bbj)(pb)_G/MQ=4%(singlet)_Down,sigma(Bbj)(pb)_G/MQ=4%(singlet)_Up,sigma(Bbj)(pb)_G/MQ=5%(doublet),sigma(Bbj)(pb)_G/MQ=5%(doublet)_Down,sigma(Bbj)(pb)_G/MQ=5%(doublet)_Up,sigma(Bbj)(pb)_G/MQ=5%(singlet),sigma(Bbj)(pb)_G/MQ=5%(singlet)_Down,sigma(Bbj)(pb)_G/MQ=5%(singlet)_Up
700,700,0.4389619535758538,0.3516085248142589,0.5605544147163652,0.23646534692712615,0.18940874288862805,0.3019662480259401,0.8779239071517073,0.7032170496285176,1.1211088294327303,0.4729306938542527,0.37881748577725644,0.6039324960518806,1.316885860727561,1.0548255744427766,1.6816632441490953,0.709396040781379,0.5682262286658846,0.9058987440778209,1.7558478143034153,1.4064340992570357,2.242217658865461,0.9458613877085053,0.7576349715545128,1.2078649921037612,2.194809767879269,1.7580426240712945,2.802772073581826,1.1823267346356316,0.947043714443141,1.5098312401297016
800,800,0.22425192592307777,0.17805602918292376,0.2890607325148472,0.11871236586929443,0.09425761850021978,0.1530202396055205,0.44850385184615543,0.3561120583658474,0.5781214650296943,0.23742473173858902,0.1885152370004397,0.3060404792110412,0.6727557777692333,0.5341680875487713,0.8671821975445417,0.35613709760788337,0.2827728555006594,0.45906071881656163,0.8970077036923111,0.7122241167316951,1.1562429300593888,0.4748494634771778,0.3770304740008792,0.6120809584220822,1.1212596296153887,0.8902801459146187,1.445303662574236,0.5935618293464724,0.4712880925010991,0.7651011980276029
900,900,0.12237617555935637,0.09655480251633217,0.15908902822716328,0.06401128444005849,0.05050490342320615,0.08321466977207605,0.244752351118713,0.19310960503266453,0.3181780564543269,0.12802256888011695,0.10100980684641227,0.16642933954415204,0.3671285266780692,0.2896644075489966,0.47726708468149,0.19203385332017553,0.1515147102696185,0.2496440093162282,0.48950470223742565,0.3862192100653288,0.6363561129086533,0.2560451377602341,0.20201961369282467,0.3328586790883043,0.6118808777967821,0.482774012581661,0.7954451411358168,0.3200564222002925,0.25252451711603074,0.4160733488603803
1000,1000,0.06999087273762805,0.05480285335356277,0.09168804328629275,0.036297803596728566,0.02842118021623847,0.047550122711714424,0.13998174547525602,0.10960570670712547,0.1833760865725854,0.0725956071934572,0.05684236043247699,0.09510024542342893,0.2099726182128841,0.16440856006068827,0.2750641298588782,0.10889341079018587,0.08526354064871554,0.1426503681351435,0.2799634909505122,0.21921141341425107,0.366752173145171,0.1451912143869144,0.11368472086495399,0.19020049084685786,0.3499543636881402,0.27401426676781376,0.4584402164314637,0.18148901798364311,0.14210590108119256,0.2377506135585725
1100,1100,0.04172250165900448,0.03250182879236449,0.055073702189885915,0.021500861167877704,0.016749170849776732,0.028381136741598572,0.08344500331800897,0.065003657584729,0.11014740437977184,0.043001722335755437,0.033498341699553486,0.05676227348319718,0.12516750497701348,0.09750548637709351,0.1652211065696578,0.06450258350363319,0.050247512549330256,0.08514341022479582,0.166890006636018,0.13000731516945802,0.22029480875954377,0.0860034446715109,0.066996683399107,0.1135245469663944,0.2086125082950224,0.16250914396182245,0.2753685109494296,0.10750430583938862,0.08374585424888374,0.141905683707993
1200,1200,0.02561140963384035,0.019823231056592432,0.03403756340337383,0.013134832688906929,0.010166360501213964,0.017456192643557307,0.05122281926768073,0.039646462113184885,0.06807512680674768,0.0262696653778139,0.02033272100242796,0.03491238528711467,0.07683422890152111,0.05946969316977734,0.10211269021012155,0.039404498066720826,0.03049908150364192,0.052368577930671976,0.10244563853536148,0.07929292422636978,0.13615025361349542,0.05253933075562775,0.04066544200485588,0.06982477057422928,0.12805704816920194,0.0991161552829623,0.17018781701686936,0.06567416344453472,0.050831802506069876,0.08728096321778664
1300,1300,0.016172222732881922,0.01245261150431908,0.02162226179386313,0.008262865273235056,0.006362406260390993,0.01104745087031527,0.03234444546576384,0.024905223008638153,0.04324452358772625,0.01652573054647011,0.012724812520781986,0.02209490174063054,0.04851666819864581,0.03735783451295727,0.06486678538158944,0.024788595819705165,0.019087218781172977,0.03314235261094581,0.06468889093152773,0.049810446017276355,0.08648904717545257,0.03305146109294022,0.02544962504156397,0.04418980348126108,0.08086111366440968,0.06226305752159545,0.10811130896931574,0.04131432636617531,0.03181203130195499,0.05523725435157639
1400,1400,0.010446013592022373,0.00801209242508116,0.014039442267678068,0.0053213035555764255,0.004081439827127119,0.007151831978694715,0.020892027184044752,0.016024184850162326,0.028078884535356143,0.010642607111152837,0.008162879654254227,0.014303663957389412,0.03133804077606713,0.02403627727524349,0.04211832680303422,0.015963910666729277,0.012244319481381357,0.021455495936084146,0.041784054368089504,0.03204836970032465,0.056157769070712286,0.021285214222305702,0.016325759308508474,0.02860732791477886,0.052230067960111905,0.04006046212540583,0.0701972113383904,0.02660651777788213,0.020407199135635594,0.03575915989347358
1500,1500,0.006902652786683442,0.0052667240762394665,0.009332386567596013,0.003507840972914786,0.002676482662333982,0.004742600995380791,0.013805305573366894,0.01053344815247894,0.01866477313519204,0.007015681945829574,0.005352965324667965,0.009485201990761584,0.02070795836005035,0.015800172228718417,0.027997159702788075,0.010523522918744354,0.008029447987001942,0.014227802986142367,0.027610611146733795,0.021066896304957887,0.037329546270384095,0.014031363891659144,0.010705930649335928,0.018970403981523165,0.03451326393341724,0.026333620381197357,0.04666193283798011,0.01753920486457393,0.013382413311669908,0.023713004976903953
1600,1600,0.004501059419058744,0.003416304099065587,0.006121440809919891,0.0022828874265914613,0.001732711556782919,0.003104726900164387,0.009002118838117495,0.006832608198131179,0.012242881619839793,0.004565774853182923,0.003465423113565838,0.006209453800328774,0.013503178257176241,0.010248912297196768,0.018364322429759685,0.006848662279774377,0.005198134670348752,0.009314180700493153,0.018004237676234994,0.01366521639626236,0.02448576323967959,0.009131549706365845,0.006930846227131676,0.012418907600657548,0.022505297095293746,0.01708152049532795,0.03060720404959949,0.011414437132957303,0.008663557783914594,0.01552363450082193
1700,1700,0.0029518720476211487,0.0022316152680015885,0.00403225721705049,0.0014947184340837873,0.0011300071361673432,0.0020417853809584535,0.0059037440952422965,0.004463230536003176,0.008064514434100977,0.0029894368681675754,0.002260014272334687,0.004083570761916908,0.008855616142863449,0.006694845804004767,0.012096771651151472,0.004484155302251363,0.0033900214085020304,0.006125356142875362,0.011807488190484609,0.008926461072006365,0.016129028868201976,0.005978873736335155,0.004520028544669377,0.008167141523833823,0.014759360238105756,0.011158076340007952,0.020161286085252465,0.007473592170418943,0.005650035680836721,0.010208926904792278
1800,1800,0.0019573837210573397,0.001473909941956177,0.0026874878490117274,0.0009897935219797863,0.0007453145220507791,0.0013589865056782466,0.00391476744211468,0.0029478198839123543,0.0053749756980234565,0.0019795870439595713,0.0014906290441015573,0.0027179730113564915,0.005872151163172025,0.004421729825868535,0.00806246354703519,0.002969380565939359,0.0022359435661523375,0.0040769595170347395,0.007829534884229364,0.005895639767824711,0.010749951396046916,0.003959174087919145,0.0029812580882031163,0.0054359460227129865,0.009786918605286707,0.00736954970978089,0.013437439245058648,0.004948967609898932,0.0037265726102538956,0.006794932528391234
1900,1900,0.001290755108109654,0.0009680663310822405,0.001779951294083213,0.0006519442100000336,0.0004889581575000252,0.0008990310655900464,0.002581510216219307,0.0019361326621644805,0.0035599025881664246,0.0013038884200000712,0.0009779163150000535,0.0017980621311800983,0.0038722653243289597,0.00290419899324672,0.005339853882249636,0.0019558326300001044,0.0014668744725000783,0.002697093196770144,0.005163020432438616,0.003872265324328962,0.007119805176332852,0.0026077768400001393,0.0019558326300001044,0.003596124262360192,0.006453775540548266,0.004840331655411199,0.008899756470416059,0.0032597210500001765,0.0024447907875001324,0.004495155327950243
2000,2000,0.0008916670111223467,0.000666075257308393,0.0012358504774155727,0.00044992552164078287,0.0003360943646656648,0.0006235967729941251,0.0017833340222446954,0.0013321505146167874,0.002471700954831148,0.0008998510432815665,0.0006721887293313301,0.0012471935459882513,0.0026750010333670424,0.0019982257719251806,0.003707551432246721,0.0013497765649223502,0.0010082830939969955,0.0018707903189823776,0.003566668044489391,0.002664301029233575,0.004943401909662297,0.001799702086563134,0.0013443774586626611,0.002494387091976504,0.004458335055611739,0.003330376286541969,0.006179252387077871,0.002249627608203919,0.0016804718233283274,0.0031179838649706315
