mass,mass1,sigmaHat(Btj)(pb)_G/MQ=1%(doublet),sigmaHat(Btj)(pb)_G/MQ=1%(doublet)_Down,sigmaHat(Btj)(pb)_G/MQ=1%(doublet)_Up,sigmaHat(Btj)(pb)_G/MQ=1%(singlet),sigmaHat(Btj)(pb)_G/MQ=1%(singlet)_Down,sigmaHat(Btj)(pb)_G/MQ=1%(singlet)_Up,sigmaHat(Btj)(pb)_G/MQ=2%(doublet),sigmaHat(Btj)(pb)_G/MQ=2%(doublet)_Down,sigmaHat(Btj)(pb)_G/MQ=2%(doublet)_Up,sigmaHat(Btj)(pb)_G/MQ=2%(singlet),sigmaHat(Btj)(pb)_G/MQ=2%(singlet)_Down,sigmaHat(Btj)(pb)_G/MQ=2%(singlet)_Up,sigmaHat(Btj)(pb)_G/MQ=3%(doublet),sigmaHat(Btj)(pb)_G/MQ=3%(doublet)_Down,sigmaHat(Btj)(pb)_G/MQ=3%(doublet)_Up,sigmaHat(Btj)(pb)_G/MQ=3%(singlet),sigmaHat(Btj)(pb)_G/MQ=3%(singlet)_Down,sigmaHat(Btj)(pb)_G/MQ=3%(singlet)_Up,sigmaHat(Btj)(pb)_G/MQ=4%(doublet),sigmaHat(Btj)(pb)_G/MQ=4%(doublet)_Down,sigmaHat(Btj)(pb)_G/MQ=4%(doublet)_Up,sigmaHat(Btj)(pb)_G/MQ=4%(singlet),sigmaHat(Btj)(pb)_G/MQ=4%(singlet)_Down,sigmaHat(Btj)(pb)_G/MQ=4%(singlet)_Up,sigmaHat(Btj)(pb)_G/MQ=5%(doublet),sigmaHat(Btj)(pb)_G/MQ=5%(doublet)_Down,sigmaHat(Btj)(pb)_G/MQ=5%(doublet)_Up,sigmaHat(Btj)(pb)_G/MQ=5%(singlet),sigmaHat(Btj)(pb)_G/MQ=5%(singlet)_Down,sigmaHat(Btj)(pb)_G/MQ=5%(singlet)_Up
700,700,0.24401737582896596,0.19545791803900175,0.3116101889335895,0.13145023836712166,0.10529164093206446,0.16786195439481436,0.488034751657932,0.3909158360780035,0.6232203778671791,0.26290047673424355,0.21058328186412908,0.335723908789629,0.732052127486898,0.5863737541170053,0.9348305668007686,0.3943507151013654,0.31587492279619367,0.5035858631844435,0.9760695033158638,0.781831672156007,1.246440755734358,0.525800953468487,0.4211665637282581,0.6714478175792579,1.2200868791448298,0.9772895901950087,1.5580509446679476,0.6572511918356089,0.5264582046603228,0.8393097719740725
800,800,0.1360024429582938,0.10825794459480187,0.17489914164436585,0.07199568833634405,0.05730856791572987,0.09258645520053846,0.2720048859165876,0.21651588918960374,0.3497982832887317,0.14399137667268821,0.11461713583145983,0.18517291040107706,0.40800732887488145,0.32477383378440566,0.5246974249330976,0.2159870650090323,0.17192570374718974,0.27775936560161557,0.5440097718331752,0.4330317783792075,0.6995965665774634,0.2879827533453764,0.2292342716629196,0.370345820802154,0.6800122147914691,0.5412897229740095,0.8744957082218293,0.35997844168172044,0.2865428395786495,0.4629322760026925
900,900,0.07929033964259796,0.0627979489969376,0.10260169949752176,0.04147438389059163,0.03284771204134857,0.05366785275442557,0.15858067928519606,0.1255958979938753,0.20520339899504372,0.08294876778118326,0.06569542408269714,0.10733570550885115,0.23787101892779394,0.18839384699081282,0.3078050984925654,0.12442315167177492,0.09854313612404575,0.16100355826327675,0.3171613585703919,0.2511917959877504,0.4104067979900871,0.1658975355623666,0.13139084816539437,0.2146714110177024,0.3964516982129899,0.313989744984688,0.513008497487609,0.2073719194529582,0.16423856020674288,0.2683392637721279
1000,1000,0.047792117901335016,0.03761239678835066,0.06227312962543952,0.024785359021844703,0.01950607755019178,0.03229532280546365,0.09558423580266998,0.07522479357670127,0.12454625925087898,0.049570718043689455,0.039012155100383604,0.06459064561092735,0.14337635370400498,0.11283719036505192,0.18681938887631847,0.07435607706553424,0.058518232650575444,0.0968859684163911,0.19116847160534006,0.15044958715340265,0.2490925185017581,0.0991414360873789,0.0780243102007672,0.1291812912218547,0.238960589506675,0.18806198394175325,0.3113656481271975,0.12392679510922366,0.09753038775095903,0.16147661402731842
1100,1100,0.02966567599906995,0.023228224307271773,0.0388917012347807,0.015287615932530923,0.011970203275171714,0.02004206448754804,0.059331351998139915,0.04645644861454355,0.07778340246956142,0.030575231865061864,0.023940406550343442,0.040084128975096105,0.08899702799720989,0.06968467292181535,0.11667510370434216,0.045862847797592816,0.03591060982551517,0.06012619346264418,0.11866270399627986,0.09291289722908713,0.1555668049391229,0.06115046373012376,0.047880813100686904,0.08016825795019225,0.14832837999534976,0.11614112153635886,0.19445850617390353,0.07643807966265469,0.05985101637585862,0.10021032243774029
1200,1200,0.018883832126840545,0.014729389058935626,0.02488889074317584,0.009684588980363116,0.007553979404683231,0.012764288276118588,0.03776766425368111,0.029458778117871266,0.04977778148635171,0.01936917796072626,0.015107958809366483,0.02552857655223721,0.05665149638052168,0.04418816717680691,0.07466667222952758,0.029053766941089375,0.02266193821404971,0.038292864828355797,0.07553532850736226,0.05891755623574257,0.09955556297270346,0.0387383559214525,0.030215917618732952,0.051057153104474395,0.09441916063420286,0.07364694529467823,0.12444445371587938,0.048422944901815645,0.0377698970234162,0.06382144138059302
1300,1300,0.012286253470818534,0.009534132693355183,0.016266999595363738,0.006277409037644335,0.004871269413212004,0.0083112895658411,0.024572506941637064,0.019068265386710363,0.032533999190727476,0.012554818075288673,0.009742538826424011,0.016622579131682205,0.03685876041245563,0.02860239808006557,0.04880099878609125,0.018832227112933003,0.014613808239636011,0.024933868697523297,0.04914501388327418,0.03813653077342076,0.06506799838145501,0.02510963615057734,0.019485077652848015,0.0332451582633644,0.06143126735409272,0.04767066346677595,0.08133499797681876,0.03138704518822169,0.024356347066060033,0.04155644782920552
1400,1400,0.00813480124981016,0.006288201366103253,0.010827420463497321,0.0041439489268500695,0.003203272520455104,0.005515596021637442,0.016269602499620325,0.012576402732206511,0.021654840926994653,0.00828789785370013,0.006406545040910201,0.011031192043274874,0.02440440374943049,0.01886460409830977,0.032482261390491984,0.01243184678055021,0.009609817561365312,0.01654678806491233,0.03253920499924065,0.025152805464413022,0.043309681853989306,0.016575795707400278,0.012813090081820416,0.022062384086549768,0.04067400624905082,0.03144100683051629,0.05413710231748664,0.020719744634250352,0.016016362602275524,0.027577980108187218
1500,1500,0.005454836495476028,0.0042002241015165415,0.007293116394451449,0.002772079018127098,0.0021345008439578655,0.00370626964723593,0.010909672990952067,0.008400448203033092,0.014586232788902915,0.005544158036254198,0.004269001687915733,0.007412539294471863,0.016364509486428105,0.012600672304549641,0.021879349183354376,0.008316237054381288,0.006403502531873592,0.011118808941707782,0.021819345981904135,0.016800896406066183,0.02917246557780583,0.011088316072508392,0.008538003375831462,0.01482507858894372,0.027274182477380168,0.02100112050758273,0.036465581972257285,0.013860395090635491,0.010672504219789328,0.018531348236179652
1600,1600,0.003790068142997336,0.002906982265678957,0.005090061516045422,0.0019222805353195768,0.0014743891705901154,0.0025816227589341915,0.007580136285994676,0.0058139645313579165,0.01018012303209085,0.0038445610706391536,0.0029487783411802308,0.005163245517868383,0.011370204428992019,0.00872094679703688,0.015270184548136282,0.005766841605958726,0.004423167511770343,0.007744868276802569,0.01516027257198936,0.011627929062715838,0.02036024606418171,0.007689122141278307,0.0058975566823604615,0.010326491035736766,0.018950340714986705,0.014534911328394804,0.025450307580227143,0.009611402676597882,0.007371945852950575,0.012908113794670955
