mass,mass1,sigma(Tbj)(pb)_G/MQ=1%(doublet),sigma(Tbj)(pb)_G/MQ=1%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=1%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=1%(singlet),sigma(Tbj)(pb)_G/MQ=1%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=1%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=2%(doublet),sigma(Tbj)(pb)_G/MQ=2%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=2%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=2%(singlet),sigma(Tbj)(pb)_G/MQ=2%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=2%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=3%(doublet),sigma(Tbj)(pb)_G/MQ=3%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=3%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=3%(singlet),sigma(Tbj)(pb)_G/MQ=3%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=3%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=4%(singlet),sigma(Tbj)(pb)_G/MQ=4%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=4%(singlet)_Up,sigma(Tbj)(pb)_G/MQ=5%(doublet),sigma(Tbj)(pb)_G/MQ=5%(doublet)_Down,sigma(Tbj)(pb)_G/MQ=5%(doublet)_Up,sigma(Tbj)(pb)_G/MQ=5%(singlet),sigma(Tbj)(pb)_G/MQ=5%(singlet)_Down,sigma(Tbj)(pb)_G/MQ=5%(singlet)_Up
600,600,1.2642471833390139,1.0215117241379232,1.5992726869238527,0.6995864778873443,0.5652658741329742,0.8849768945274906,2.528494366678026,2.043023448275845,3.198545373847703,1.3991729557746893,1.130531748265949,1.7699537890549821,3.7927415500170403,3.064535172413769,4.797818060771556,2.098759433662034,1.6957976223989237,2.6549306835824735,2.7983459115493785,2.261063496531898,3.5399075781099643,6.321235916695067,5.107558620689614,7.996363434619261,3.4979323894367247,2.8263293706648738,4.424884472637457
700,700,0.8022587102168921,0.6418069681735137,1.026088890367405,0.437340240101239,0.34987219208099124,0.5593581670894846,1.6045174204337842,1.2836139363470274,2.05217778073481,0.874680480202478,0.6997443841619825,1.1187163341789692,2.4067761306506754,1.9254209045205404,3.0782666711022135,1.312020720303717,1.0496165762429737,1.6780745012684541,1.7493609604049571,1.3994887683239658,2.23743266835794,4.011293551084461,3.209034840867569,5.130444451837025,2.186701200506195,1.749360960404956,2.7967908354474234
800,800,0.45748412250574527,0.362784909147056,0.5906120021549172,0.24340596386374727,0.1930209293439516,0.3142370993480977,0.9149682450114905,0.725569818294112,1.1812240043098343,0.4868119277274946,0.38604185868790325,0.6284741986961955,1.372452367517236,1.0883547274411682,1.7718360064647516,0.7302178915912423,0.5790627880318552,0.9427112980442938,0.9736238554549893,0.7720837173758066,1.2569483973923912,2.287420612528727,1.8139245457352804,2.9530600107745864,1.2170298193187368,0.9651046467197583,1.571185496740489
900,900,0.24558371794369363,0.1932743860216869,0.3199955844806328,0.1287470837734326,0.10132395492969147,0.16775745015678267,0.49116743588738726,0.3865487720433738,0.6399911689612656,0.25749416754686527,0.20264790985938297,0.33551490031356546,0.736751153831081,0.5798231580650608,0.9599867534418985,0.38624125132029796,0.3039718647890745,0.5032723504703482,0.5149883350937304,0.4052958197187659,0.6710298006271307,1.2279185897184686,0.9663719301084348,1.5999779224031645,0.643735418867163,0.5066197746484573,0.8387872507839134
1000,1000,0.13900249512012128,0.10869995118393484,0.18251027609271922,0.07214371098806371,0.056416381992665826,0.09472469252732765,0.2780049902402426,0.21739990236786974,0.36502055218543855,0.14428742197612748,0.1128327639853317,0.1894493850546554,0.4170074853603637,0.32609985355180443,0.5475308282781575,0.21643113296419114,0.16924914597799748,0.28417407758198293,0.2885748439522551,0.22566552797066347,0.3788987701093109,0.6950124756006063,0.5434997559196741,0.9125513804635961,0.3607185549403187,0.2820819099633292,0.4736234626366384
1100,1100,0.08198220120518193,0.06370017033642636,0.10846245219445569,0.04224662366445073,0.032825626587278216,0.05589228310806831,0.1639644024103638,0.1274003406728527,0.21692490438891132,0.08449324732890136,0.06565125317455636,0.1117845662161365,0.24594660361554582,0.1911005110092791,0.3253873565833671,0.12673987099335207,0.09847687976183456,0.1676768493242048,0.1689864946578029,0.13130250634911286,0.22356913243227325,0.40991100602590963,0.31850085168213177,0.5423122609722785,0.21123311832225355,0.16412813293639103,0.27946141554034143
1200,1200,0.04999304018922589,0.03864462006627161,0.06659072953204889,0.025626772910635934,0.019809495459921576,0.03413486151696707,0.09998608037845179,0.07728924013254324,0.13318145906409778,0.05125354582127182,0.03961899091984312,0.06826972303393407,0.14997912056767765,0.11593386019881483,0.19977218859614665,0.07688031873190777,0.05942848637976471,0.10240458455090116,0.10250709164254374,0.0792379818396863,0.13653944606786828,0.24996520094612948,0.1932231003313581,0.3329536476602445,0.12813386455317957,0.0990474772996078,0.1706743075848352
1300,1300,0.0312700523149551,0.024046670230200476,0.04190187010203984,0.0159652988628666,0.012277314825544417,0.021393500476241247,0.06254010462991025,0.04809334046040098,0.08380374020407974,0.03193059772573317,0.02455462965108881,0.04278700095248245,0.09381015694486537,0.07214001069060147,0.1257056103061196,0.047895896588599794,0.036831944476633245,0.06418050142872372,0.0638611954514664,0.04910925930217767,0.08557400190496499,0.15635026157477563,0.12023335115100246,0.20950935051019937,0.079826494314333,0.06138657412772208,0.10696750238120623
1400,1400,0.020067096469638876,0.01535132879927374,0.027050446041073203,0.01021373245263118,0.007813505326262854,0.01376811134614683,0.04013419293927779,0.030702657598547508,0.054100892082146454,0.020427464905262368,0.01562701065252571,0.02753622269229367,0.06020128940891663,0.04605398639782122,0.0811513381232196,0.03064119735789357,0.023440515978788583,0.04130433403844053,0.04085492981052472,0.031254021305051415,0.05507244538458732,0.10033548234819441,0.07675664399636872,0.13525223020536606,0.05106866226315591,0.03906752663131427,0.06884055673073415
1500,1500,0.013132798414548955,0.009994059593471756,0.017808074650128385,0.006667893952207591,0.005074267297629977,0.009041664199193493,0.026265596829097917,0.019988119186943515,0.03561614930025678,0.013335787904415171,0.010148534595259946,0.018083328398386972,0.03939839524364689,0.029982178780415283,0.05342422395038519,0.020003681856622765,0.015222801892889925,0.027124992597580472,0.026671575808830363,0.020297069190519906,0.03616665679677397,0.06566399207274484,0.04997029796735883,0.08904037325064201,0.033339469761037945,0.025371336488149876,0.04520832099596746
