mass,mass1,sigma(Xtj)(pb)_G/MQ=1%,sigma(Xtj)(pb)_G/MQ=1%_Down,sigma(Xtj)(pb)_G/MQ=1%_Up,sigma(Xtj)(pb)_G/MQ=2%,sigma(Xtj)(pb)_G/MQ=2%_Down,sigma(Xtj)(pb)_G/MQ=2%_Up,sigma(Xtj)(pb)_G/MQ=3%,sigma(Xtj)(pb)_G/MQ=3%_Down,sigma(Xtj)(pb)_G/MQ=3%_Up
700,700,0.10713470480406738,0.08581489854805797,0.13681101803479404,0.2142694096081347,0.1716297970961159,0.273622036069588,0.3214041144122022,0.25744469564417394,0.41043305410438213
800,800,0.055919011839080324,0.04451153342390794,0.07191184922505729,0.11183802367816065,0.08902306684781588,0.14382369845011458,0.167757035517241,0.13353460027172384,0.21573554767517192
900,900,0.031179030832923938,0.02469379241967576,0.040376844928636496,0.06235806166584791,0.049387584839351545,0.08075368985727303,0.0935370924987719,0.07408137725902735,0.1211305347859096
1000,1000,0.01820643397230982,0.01432846353620783,0.023722983465919695,0.03641286794461963,0.02865692707241565,0.04744596693183937,0.05461930191692948,0.042985390608623504,0.07116895039775911
1100,1100,0.011040139228022047,0.008644429015541263,0.014473622527936903,0.022080278456044107,0.017288858031082537,0.028947245055873823,0.03312041768406615,0.025933287046623798,0.043420867583810724
1200,1200,0.006904251290474706,0.005378411755279796,0.009099803200845663,0.013808502580949405,0.010756823510559586,0.018199606401691316,0.02071275387142412,0.01613523526583939,0.027299409602536993
1300,1300,0.00443070042857484,0.003438223532574076,0.005866247367433088,0.008861400857149681,0.0068764470651481524,0.011732494734866178,0.01329210128572452,0.010314670597722227,0.017598742102299263
1400,1400,0.002901803819345747,0.0022430943523542627,0.0038623008835491895,0.005803607638691492,0.004486188704708524,0.0077246017670983755,0.008705411458037242,0.006729283057062788,0.011586902650647568
1500,1500,0.0019363251829773028,0.0014909703908925233,0.0025888667696406537,0.0038726503659546065,0.002981940781785047,0.005177733539281309,0.0058089755489319096,0.004472911172677571,0.007766600308921963
1600,1600,0.001312005926865961,0.001006308545906192,0.0017620239597809855,0.0026240118537319227,0.002012617091812385,0.003524047919561972,0.0039360177805978875,0.0030189256377185798,0.005286071879342963
1700,1700,0.0009028403747456968,0.0006897700463057124,0.001217931665531945,0.001805680749491395,0.0013795400926114258,0.002435863331063892,0.0027085211242370943,0.00206931013891714,0.0036537949965958403
1800,1800,0.0006270556994986202,0.00047718938731845,0.0008490334171211318,0.001254111398997241,0.0009543787746369005,0.0016980668342422645,0.001881167098495863,0.0014315681619553517,0.0025471002513633985
1900,1900,0.0004395078215147294,0.0003331469287081649,0.000597730637260032,0.0008790156430294583,0.0006662938574163293,0.001195461274520063,0.0013185234645441875,0.0009994407861244942,0.0017931919117800948
2000,2000,0.0003114264008907633,0.00023543835907341706,0.0004254084636167827,0.0006228528017815263,0.0004708767181468339,0.000850816927233565,0.0009342792026722906,0.0007063150772202517,0.001276225390850349
