MQ	sigmaHat(Bbj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaHat(Btj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	kappaSinglet[Gamma/MQ=1%]	BRsinglet(Wt)(%)	BRsinglet(Zb)(%)	BRsinglet(Hb)(%)	kappaDoublet1[Gamma/MQ=1%]	BRdoublet(Zb)(%)	BRdoublet(Hb)(%)	kappaDoublet2[Gamma/MQ=1%]	BRdoublet2(Wt)(%)
700	49.8211	27.7	-19.9	18.0708	27.7	-19.9	0.18602269007347919	0.5072730214259039	0.24745459656408592	0.2514172916901137	0.2534519328961706	0.48992425983856813	0.49776982223078764	0.2738864112517675	100
800	33.4995	28.9	-20.6	13.2562	28.6	-20.4	0.16073765989229347	0.5065593469951525	0.24770404932871495	0.25128215600458137	0.22092138231262973	0.4909024242554038	0.4979935527459853	0.23430313113498702	100
900	23.2582	30	-21.1	9.83263	29.4	-20.8	0.14165406576369624	0.5560734600916389	0.2305494197813947	0.25852315887054056	0.19586156108200467	0.4279799345576376	0.4799089267713546	0.20511699372746975	100
1000	16.4837	31	-21.7	7.34412	30.3	-21.3	0.12670730271040828	0.5156620881072733	0.24452742592474946	0.25294069236165895	0.17594712597150422	0.47859330457230814	0.4950598950623537	0.18262156651445915	100
1100	11.9224	32	-22.1	5.53118	31.1	-21.7	0.11466606443435438	0.5267485129397877	0.24067306660644117	0.2547666766172598	0.15973208101386724	0.4640754069688194	0.4912512679558975	0.16470693467129546	100
1200	8.72792	32.9	-22.6	4.19892	31.8	-22	0.10474799475805908	0.5424047050400329	0.2352557785656149	0.25697082756484463	0.14626829076940417	0.44440662134523257	0.4854271293936769	0.15007720549419432	100
1300	6.47852	33.7	-23	3.21141	32.4	-22.4	0.09643090831860213	0.5220076645508009	0.24231938240068276	0.25401225952206613	0.13490740197181875	0.4702216695081041	0.49291174137482113	0.1378892828028202	100
1400	4.85942	34.4	-23.3	2.46917	33.1	-22.7	0.08935227659895761	0.5184298421578919	0.24356370609617098	0.2534167127850738	0.12519065122414016	0.4749211502354092	0.49413337747965735	0.1275693277462226	100
1500	128.349	35.2	-23.7	0.666198	33.7	-23	0.08325217507404413	0.5332229641541546	0.23842923320089632	0.2557321921870616	0.11678408294096128	0.45582678047959746	0.4889064158143662	0.11871230854175392	100
1600	97.7699	36	-24.1	0.516132	34.3	-23.3	0.0779391724772908	0.5134762731039545	0.2452892208480722	0.25255538692304247	0.10943869743694687	0.48151632550080736	0.49578021193169697	0.11102366371926257	100
1700	74.7258	36.6	-24.4	0.516132	34.4	-23.3	0.07326903978953105	0.5117194964066157	0.2459019426584271	0.25223974993928866	0.10296498699865456	0.48388046745792396	0.4963518660836006	0.10428373935477359	100
1800	57.5816	37.3	-24.7	0.402594	34.9	-23.6	0.0691309704650972	0.5081101742405418	0.24716207134472734	0.251574708747441	0.09721613167519666	0.4887797345301907	0.4975060238291187	0.09832521603843415	100
1900	1.29085	37.9	-25	0.314553	35.4	-23.9	0.06543838169593338	0.5065593469951527	0.24770404932871495	0.25128215600458137	0.0920765970818641	0.4909024242554037	0.4979935527459852	0.09301828295785973	100
1900	44.5922	38	-25	0.314553	35.5	-23.9	0.06543838169593338	0.509101115931855	0.24681592930716711	0.2517595065949747	0.0920765970818641	0.48742895385247115	0.49719186790931064	0.09301828295785973	100
2000	1.00375	38.6	-25.3	0.713161	36	-24.1	0.062122607351889784	0.507273021425904	0.24745459656408597	0.2514172916901136	0.08745420788416927	0.4899242598385681	0.4977698222307875	0.08826061094591095	100
2000	34.6207	38.6	-25.3	0.24636	36	-24.2	0.062122607351889784	0.5102860950465009	0.24640218095252361	0.2519782960486763	0.08745420788416927	0.48581933762231516	0.4968134957586045	0.08826061094591095	100
