MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(bH_tj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(bH_tj)(fb)	kappaSinglet
700	70	10	0.682272	28.4	-20.2	138.81004210274395	0.5882553971037894
700	140	20	0.33146	28.5	-20.3	269.74565308484307	0.8319187607233497
700	210	30	0.215399	28.6	-20.3	394.4114639469311	1.018888235610369
800	80	10	0.491319	29.3	-20.7	72.78094233797388	0.5082971110251425
800	160	20	0.239376	29.4	-20.8	141.83869016337528	0.7188406681268195
800	240	30	0.155093	29.5	-20.8	206.77061585285827	0.8803964216360254
900	90	10	0.361097	30.2	-21.2	40.83463252653564	0.4479494876365591
900	270	30	0.113934	30.1	-21.1	115.95797583614608	0.7758712718109672
1000	100	10	0.268361	30.9	-21.6	23.984438800121556	0.4006836727413165
1000	200	20	0.130413	30.8	-21.5	46.622014633128565	0.5666522842122327
1100	11	1	1.90177	30.8	-21.5	1.3793883889786962	0.11466606443435438
1100	110	10	0.201375	31.6	-21.9	14.606095207653128	0.3626059339401868
1200	12	1	1.44047	31.5	-21.9	0.8658709254083081	0.10474799475805908
1200	120	10	0.152567	32.3	-22.3	9.17084906154029	0.33124224377084477
1300	13	1	1.09624	32.3	-22.3	0.5554704437669001	0.09643090831860213
1300	130	10	0.116726	32.9	-22.6	5.914566428805297	0.30494130712566064
1400	14	1	0.841922	32.9	-22.6	0.36471531005215446	0.08935227659895761
1400	140	10	0.090015	33.5	-22.9	3.8993931307585132	0.2825567081740695
1400	140	10	0.090015	33.6	-22.9	3.8993931307585132	0.2825567081740695
1400	280	20	0.0446574	33.3	-22.7	7.738121815143479	0.39959552883926586
1500	15	1	0.650161	33.5	-22.9	0.24366287490090732	0.08325217507404413
1500	150	10	0.0699778	34	-23.1	2.6225799343917453	0.26326649339707653
1500	150	10	0.0699778	34.1	-23.2	2.6225799343917453	0.26326649339707653
1500	300	20	0.0348153	33.7	-23	5.21913562243048	0.3723150454805525
1500	450	30	0.0229847	33.5	-22.9	7.752643226310703	0.4559909424942329
1500	450	30	0.0229847	33.6	-22.9	7.752643226310703	0.4559909424942329
1600	16	1	0.504497	34.1	-23.2	0.1652438444754649	0.0779391724772908
1600	160	10	0.0546693	34.5	-23.4	1.790647973482999	0.24646530397694688
1600	160	10	0.0546693	34.6	-23.4	1.790647973482999	0.24646530397694688
1600	320	20	0.0274022	34.2	-23.2	3.590146125812906	0.34855457553860586
1600	480	30	0.0181576	33.9	-23.1	5.352635332624235	0.42689042879097966
1700	17	1	0.393679	34.7	-23.5	0.11369089032752781	0.07326903978953105
1700	17	1	0.393679	34.8	-23.5	0.11369089032752781	0.07326903978953105
1700	170	10	0.0429966	35.1	-23.7	1.2417024365172094	0.23169704770842214
1700	170	10	0.0429966	35.2	-23.7	1.2417024365172094	0.23169704770842214
1700	340	20	0.0216888	34.6	-23.4	2.5054107352799457	0.3276691072310566
1700	340	20	0.0216888	34.7	-23.4	2.5054107352799457	0.3276691072310566
1700	510	30	0.0144789	34.3	-23.3	3.7632363645683884	0.40131105859469723
1700	510	30	0.0144789	34.3	-23.2	3.7632363645683884	0.40131105859469723
1800	18	1	0.307926	35.3	-23.8	0.07901063656379664	0.0691309704650972
1800	180	10	0.0339171	35.6	-23.9	0.8702778139546348	0.2186113235275369
1800	360	20	0.0173032	35	-23.6	1.775929082429789	0.30916309862097524
1800	360	20	0.0173032	35.1	-23.6	1.775929082429789	0.30916309862097524
1800	540	30	0.0116103	34.7	-23.5	2.6811749391963775	0.3786459194595714
1800	540	30	0.0116103	34.7	-23.4	2.6811749391963775	0.3786459194595714
1900	19	1	0.242653	35.8	-24.1	0.05569633846264457	0.06543838169593338
1900	19	1	0.242653	35.9	-24.1	0.05569633846264457	0.06543838169593338
1900	190	10	0.0269255	36	-24.1	0.6180231694130871	0.20693433255462157
1900	190	10	0.0269255	36.1	-24.1	0.6180231694130871	0.20693433255462157
1900	380	20	0.0138338	35.5	-23.8	1.2701133009268917	0.29264933961937006
1900	570	30	0.0093659	35	-23.6	1.9347863111791528	0.3584207778149589
1900	570	30	0.0093659	35.1	-23.6	1.9347863111791528	0.3584207778149589
2000	20	1	0.190895	36.4	-24.3	0.03943272784560761	0.062122607351889784
2000	20	1	0.190895	36.5	-24.4	0.03943272784560761	0.062122607351889784
2000	200	10	0.0214672	36.5	-24.4	0.44344286398660365	0.19644893342029296
2000	200	10	0.0214672	36.5	-24.3	0.44344286398660365	0.19644893342029296
2000	400	20	0.0111551	35.8	-24	0.9217130304943284	0.27782074595670747
2000	400	20	0.0111551	35.9	-24	0.9217130304943284	0.27782074595670747
2000	600	30	0.00760099	35.4	-23.8	1.4131066451424414	0.34025953377666307
