mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(bZ_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(bZ_bj)(fb),kappaSinglet,sigmaDoublet1(bZ_bj)(fb),kappaDoublet1
700,7,1,1818.58,27.6,-19.9,40.96773219999472,0.18602269007347919,141.1759350094584,0.2534519328961706
700,70,10,183.564,28.7,-20.4,413.52048266008813,0.5882553971037894,1425.0029877198822,0.8014853853240554
700,140,20,86.2141,28.8,-20.4,776.8690210303787,0.8319187607233497,2677.11207172606,1.133471501969105
700,210,30,54.6818,28.8,-20.5,1108.650928060522,1.018888235610369,3820.4416735585924,1.388213408905183
800,8,1,1624.4,28.9,-20.5,20.399023479862407,0.16073765989229347,72.7930338729615,0.22092138231262973
800,80,10,164.449,30,-21.1,206.51311328736105,0.5082971110251425,736.9331216064177,0.6986147519407467
800,160,20,77.4752,30,-21.1,389.1697670295584,0.7188406681268195,1388.7354981321018,0.9879904570685195
900,9,1,1440.11,29.9,-21.1,10.908315098106922,0.14165406576369624,39.8692755562331,0.19586156108200467
900,90,10,146.828,31.2,-21.7,111.21692712534764,0.4479494876365591,406.4915868489623,0.6193686390953278
900,180,20,68.3908,31.1,-21.7,207.21428119007888,0.6334962406737009,757.3564937987306,0.8759195295171793
900,270,30,43.6864,31.2,-21.7,297.8178854613501,0.7758712718109672,1088.507549905104,1.072777951527899
1000,10,1,1272.35,31,-21.6,6.169628436354275,0.12670730271040828,22.939351418183424,0.17594712597150422
1000,100,10,129.951,32.3,-22.2,63.013273465058724,0.4006836727413165,234.29022329896299,0.5563936658305195
1000,200,20,61.22,32.2,-22.2,118.74237525008346,0.5666522842122327,441.4971018418482,0.7868594682360043
1000,300,30,38.7525,32.2,-22.2,169.11987533448917,0.694004478951261,628.8061415882725,0.9637020982279594
1100,11,1,1117.93,32,-22.1,3.6358007097640272,0.11466606443435438,13.690806785199923,0.15973208101386724
1100,110,10,115.477,33.3,-22.8,37.556140237887924,0.3626059339401868,141.41970383964397,0.5051171914023581
1100,220,20,54.1662,33.2,-22.7,70.46505895904765,0.5128022295751747,265.3400404277535,0.7143435826690213
1200,12,1,980.201,32.7,-22.5,2.2199533287406124,0.10474799475805908,8.440374537544988,0.14626829076940417
1200,120,10,101.73,34.2,-23.2,23.03974920784436,0.33124224377084477,87.59828868818255,0.4625409482910996
1200,240,20,47.7247,34,-23.1,43.23464539544321,0.46844727357162347,164.38030268974364,0.6541316822261856
1300,13,1,856.453,33.6,-22.9,1.3932029869145865,0.09643090831860213,5.336941984028089,0.13490740197181875
1300,130,10,88.5689,35,-23.6,14.40761559919101,0.30494130712566064,55.1912458581131,0.426614663446838
1300,390,30,26.5978,34.8,-23.5,38.94028156223531,0.5281738372681095,149.16851707274546,0.7389182723438206
1400,14,1,746.207,34.4,-23.3,0.894803429108191,0.08935227659895761,3.448202359709997,0.12519065122414016
1400,140,10,77.5071,35.8,-24,9.294152810176195,0.2825567081740695,35.81582122846324,0.39588759962802966
1500,15,1,650.366,35.2,-23.7,0.5877410386162211,0.08325217507404413,2.2758219387718857,0.11678408294096128
1500,150,10,67.8965,36.6,-24.3,6.135861872915597,0.26326649339707653,23.758982521507143,0.36930369654745293
1600,16,1,564.625,35.8,-24,0.39194858111024755,0.0779391724772908,1.523665368678808,0.10943869743694687
1600,160,10,59.9336,37.3,-24.7,4.160440908714478,0.24646530397694688,16.17334527168443,0.34607554806278357
1700,17,1,490.244,36.6,-24.4,0.2657909068486781,0.07326903978953105,1.0366123885141796,0.10296498699865456
1700,170,10,51.6221,38,-25,2.798746088158785,0.23169704770842214,10.915403019948801,0.3256038781653729
1800,18,1,424.835,37.3,-24.7,0.1825394488273427,0.0691309704650972,0.7138705482049581,0.09721613167519666
1800,180,10,44.9441,38.7,-25.3,1.931119432730583,0.2186113235275369,7.552171856268539,0.3074244014044619
1800,360,20,21.204,38.4,-25.2,3.6443009384207783,0.30916309862097524,14.25203771265356,0.4347637578706205
1800,540,30,13.4049,38.1,-25,5.183731923751766,0.3786459194595714,20.272404534629626,0.532474682718977
1900,19,1,367.209,37.8,-25,0.126674544400308,0.06543838169593338,0.4965422301919779,0.0920765970818641
1900,190,10,39.6397,39.3,-25.6,1.3674340600761135,0.20693433255462157,5.36010420282208,0.2911717659763038
1900,380,20,19.0161,38.9,-25.4,2.6239616172487032,0.29264933961937006,10.285474161639465,0.41177906042381374
1900,570,30,12.2073,38.6,-25.2,3.7899908479152025,0.3584207778149589,14.856106386173204,0.5043242924005131
2000,20,1,317.848,38.5,-25.3,0.08905617041155853,0.062122607351889784,0.349774509960837,0.08745420788416927
2000,200,10,34.4383,40,-25.9,0.9649087342013709,0.19644893342029296,3.7897484037603797,0.27655448787982984
2000,400,20,16.1972,39.4,-25.6,1.8152835360173347,0.27782074595670747,7.129656556262951,0.3911071074948011
2000,600,30,10.6956,39.1,-25.5,2.6970698529752544,0.34025953377666307,10.592935692102563,0.4790064240690566
