MQ	Gamma/MQ	Gamma/MQ(%)	sigmaHat(bZ_tj)(pb)	QCDscaleUp(%) 	QCDscaleUp(%)	sigmaSinglet(bZ_tj)(fb)	kappaSinglet
700	7	1	411.938	27.4	-19.7	14.222327813322734	0.18602269007347919
700	70	10	48.4114	29.3	-20.7	167.14233712400707	0.5882553971037894
700	140	20	26.5472	30.2	-21.1	366.6211720461248	0.8319187607233497
700	210	30	19.2238	30.9	-21.5	597.338596769364	1.018888235610369
800	8	1	382.214	28.4	-20.2	7.356179241868685	0.16073765989229347
800	80	10	43.8679	30.1	-21.1	84.42917720553703	0.5082971110251425
800	160	20	23.6074	30.9	-21.5	181.74139705452006	0.7188406681268195
800	240	30	16.7872	31.5	-21.8	290.7813082518908	0.8803964216360254
800	240	30	16.7872	31.6	-21.8	290.7813082518908	0.8803964216360254
900	9	1	349.889	29.3	-20.7	4.061828781562888	0.14165406576369624
900	90	10	39.4631	30.8	-21.5	45.81234488357578	0.4479494876365591
900	180	20	20.8778	31.5	-21.8	96.94737352213266	0.6334962406737009
900	270	30	14.6427	32.1	-22.1	152.98716527187727	0.7758712718109672
1000	10	1	316.083	30.1	-21.2	2.34899920187994	0.12670730271040828
1000	100	10	35.2698	31.6	-21.9	26.211068627691184	0.4006836727413165
1000	200	20	18.4156	32.3	-22.2	54.74287412121534	0.5666522842122327
1000	300	30	12.8125	32.8	-22.5	85.6955199953116	0.694004478951261
1100	11	1	285.419	30.9	-21.6	1.4226486453327203	0.11466606443435438
1100	110	10	31.455	32.3	-22.3	15.678498326649844	0.3626059339401868
1100	330	30	11.1605	33.3	-22.7	50.0657741272033	0.6280519007103674
1200	12	1	255.192	31.6	-22	0.8857783753890505	0.10474799475805908
1200	120	10	27.8485	33	-22.6	9.666290121564149	0.33124224377084477
1300	13	1	227.119	32.3	-22.3	0.5662310025268463	0.09643090831860213
1300	130	10	24.6008	33.6	-22.9	6.133232202925535	0.30494130712566064
1300	390	30	8.4746	34.3	-23.3	19.01524367671842	0.5281738372681095
1400	14	1	201.623	32.9	-22.6	0.37054222802923126	0.08935227659895761
1400	140	10	21.6828	34.2	-23.2	3.9848593771108534	0.2825567081740695
1500	15	1	177.889	33.6	-23	0.24638064959089348	0.08325217507404413
1500	150	10	19.0906	34.7	-23.5	2.6440951543265236	0.26326649339707653
1500	450	30	6.4411	35.3	-23.7	8.028974033649705	0.4559909424942329
1600	16	1	156.604	34.1	-23.2	0.1666100362245794	0.0779391724772908
1600	160	10	16.7328	35.3	-23.8	1.7801923412803253	0.24646530397694688
1600	160	10	16.7328	35.3	-23.7	1.7801923412803253	0.24646530397694688
1600	480	30	5.625	35.8	-24	5.385962736500552	0.42689042879097966
1700	17	1	137.219	34.8	-23.6	0.11401746920398223	0.07326903978953105
1700	17	1	137.219	34.8	-23.5	0.11401746920398223	0.07326903978953105
1700	170	10	14.649	35.8	-24	1.2172089188590036	0.23169704770842214
1700	170	10	14.649	35.9	-24	1.2172089188590036	0.23169704770842214
1700	340	20	7.31825	36.1	-24.1	2.432340547597761	0.3276691072310566
1700	510	30	4.90358	36.2	-24.1	3.6670169836198845	0.40131105859469723
1800	18	1	120.22	35.3	-23.8	0.07916668954199982	0.0691309704650972
1800	18	1	120.22	35.4	-23.8	0.07916668954199982	0.0691309704650972
1800	180	10	12.7976	36.3	-24.3	0.8427413292985335	0.2186113235275369
1800	360	20	6.3922	36.4	-24.3	1.6837441786403986	0.30916309862097524
1800	540	30	4.27025	36.7	-24.4	2.530821830103579	0.3786459194595714
1900	19	1	105.126	35.9	-24.1	0.05557960925696326	0.06543838169593338
1900	19	1	105.126	36	-24.1	0.05557960925696326	0.06543838169593338
1900	190	10	11.1903	36.8	-24.5	0.5916257647662774	0.20693433255462157
1900	190	10	11.1903	36.9	-24.5	0.5916257647662774	0.20693433255462157
1900	190	10	11.191	36.8	-24.5	0.5916627734287204	0.20693433255462157
1900	380	20	5.58962	37	-24.6	1.1820820557993532	0.29264933961937006
1900	380	20	5.58962	37	-24.5	1.1820820557993532	0.29264933961937006
1900	570	30	3.73231	37.1	-24.6	1.775928869007392	0.3584207778149589
1900	570	30	3.73231	37.2	-24.6	1.775928869007392	0.3584207778149589
2000	20	1	91.8007	36.5	-24.4	0.03942029232820375	0.062122607351889784
2000	200	10	9.73813	37.3	-24.7	0.41816667120190854	0.19644893342029296
2000	200	10	9.73813	37.4	-24.8	0.41816667120190854	0.19644893342029296
2000	400	20	4.87097	37.3	-24.7	0.8366605540999599	0.27782074595670747
2000	400	20	4.87097	37.4	-24.7	0.8366605540999599	0.27782074595670747
2000	600	30	3.25662	37.6	-24.8	1.2585875833374622	0.34025953377666307
2000	600	30	3.25666	37.5	-24.8	1.2586030421577523	0.34025953377666307
2000	600	30	3.25666	37.6	-24.8	1.2586030421577523	0.34025953377666307
