mass,Gamma/MQ,Gamma/MQ(%),sigmaHat(tW_bj)(pb),QCDscaleUp(%) ,QCDscaleUp(%),sigmaSinglet(tW_bj)(fb),kappaSinglet,sigmaDoublet2(tW_bj)(fb),kappaDoublet2
700,7,1,1966.91,27.8,-19.9,67.90837164646773,0.18602269007347919,319.1108545693814,0.2738864112517675
700,70,10,194.915,28.2,-20.2,672.9520038777197,0.5882553971037894,3162.2947780219215,0.8661048797251538
700,140,20,95.2725,28.7,-20.4,1315.7288005425967,0.8319187607233497,6182.7920732441,1.2248572673448308
700,210,30,62.4965,29.1,-20.6,1941.9454849195556,1.018888235610369,9125.4711045934,1.500137656367298
800,8,1,1841.08,29,-20.6,35.43385244553993,0.16073765989229347,159.97796811218274,0.23430313113498702
800,80,10,179.904,29.4,-20.8,346.2474086059495,0.5082971110251425,1563.2496347390734,0.7409315572956717
800,160,20,87.0941,29.7,-21,670.4932948654267,0.7188406681268195,3027.166044399864,1.0478354571177568
800,240,30,56.4893,30.1,-21.1,978.4855459060199,0.8803964216360254,4417.699986242627,1.2833311021672342
900,9,1,1684.9,30,-21.1,19.55984702021301,0.14165406576369624,85.99156399532298,0.20511699372746975
900,90,10,163.259,30.4,-21.3,189.52585106967516,0.4479494876365591,833.21839553163,0.6486368869852752
900,180,20,78.3608,30.7,-21.5,363.8732887130412,0.6334962406737009,1599.7074598907247,0.9173110826300407
900,270,30,50.2774,31,-21.6,525.2990844065837,0.7758712718109672,2309.388707731385,1.1234720439218087
1000,10,1,1514.39,31.1,-21.7,11.254325292201612,0.12670730271040828,48.56474751274539,0.18262156651445915
1000,100,10,146.438,31.4,-21.8,108.8267148580894,0.4006836727413165,469.6098426608337,0.5775001000536278
1000,200,20,69.6101,31.6,-21.9,206.92548393021198,0.5666522842122327,892.9263745367989,0.81670847376766
1000,300,30,44.461,31.9,-22.1,297.3743230838282,0.694004478951261,1283.2318724025877,1.0002595146689937
1100,11,1,1352.91,32,-22.1,6.743473905931599,0.11466606443435438,28.707250067061107,0.16470693467129546
1100,110,10,129.894,32.3,-22.3,64.74464669025132,0.3626059339401868,275.62066510047504,0.5208490599858504
1100,220,20,61.5045,32.5,-22.4,122.62574475681905,0.5128022295751747,522.0229170453496,0.7365918045812673
1100,330,30,39.0087,32.7,-22.5,174.9922282331289,0.6280519007103674,744.9492243548127,0.9021370349699827
1200,12,1,1198.39,32.9,-22.6,4.159644296382662,0.10474799475805908,17.52799580312792,0.15007720549419432
1200,120,10,114.817,33.2,-22.7,39.85329309972281,0.33124224377084477,167.93463681503832,0.4745857942347898
