mass,sigma_1%(singlet)(pb),sigma_1%(singlet)_up(pb),sigma_1%(singlet)_do(pb),sigma_1%(doublet)(pb),sigma_1%(doublet)_up(pb),sigma_1%(doublet)_do(pb),sigma_2%(singlet)(pb),sigma_2%(singlet)_up(pb),sigma_2%(singlet)_do(pb),sigma_2%(doublet)(pb),sigma_2%(doublet)_up(pb),sigma_2%(doublet)_do(pb),sigma_3%(singlet)(pb),sigma_3%(singlet)_up(pb),sigma_3%(singlet)_do(pb),sigma_3%(doublet)(pb),sigma_3%(doublet)_up(pb),sigma_3%(doublet)_do(pb),sigma_4%(singlet)(pb),sigma_4%(singlet)_up(pb),sigma_4%(singlet)_do(pb),sigma_4%(doublet)(pb),sigma_4%(doublet)_up(pb),sigma_4%(doublet)_do(pb),sigma_5%(singlet)(pb),sigma_5%(singlet)_up(pb),sigma_5%(singlet)_do(pb),sigma_5%(doublet)(pb),sigma_5%(doublet)_up(pb),sigma_5%(doublet)_do(pb)
700,0.236453854,0.301951572,0.189399537,0.438940619,0.560527171,0.351591436,0.472907708,0.603903144,0.378799074,0.877881238,1.121054341,0.703182872,0.789135734,0.905854715,0.568198612,1.316821857,1.681581512,1.054774308,0.945815417,1.207806287,0.757598149,1.755762476,2.242108682,1.406365743,1.182269271,1.509757859,0.946997686,2.194703095,2.802635853,1.757957179
800,0.118706596,0.153012802,0.094253037,0.224241027,0.289046684,0.178047375,0.237413192,0.306025605,0.188506075,0.448482054,0.578093367,0.356094751,0.399641507,0.459038407,0.282759112,0.67272308,0.867140051,0.534142126,0.474826385,0.61205121,0.377012149,0.896964107,1.156186734,0.712189501,0.593532981,0.765064012,0.471265187,1.121205134,1.445233418,0.890236876
900,0.064008173,0.083210625,0.050502449,0.122370228,0.159081296,0.09655011,0.128016347,0.166421251,0.101004898,0.244740456,0.318162592,0.193100219,0.216785997,0.249631876,0.151507346,0.367110683,0.477243888,0.289650329,0.256032693,0.332842501,0.202009795,0.489480911,0.636325185,0.386200439,0.320040867,0.416053127,0.252512244,0.611851139,0.795406481,0.482750549
1000,0.036296039,0.047547812,0.028419799,0.069987471,0.091683587,0.05480019,0.072592079,0.095095623,0.056839598,0.139974942,0.183367174,0.10960038,0.123456908,0.142643435,0.085259397,0.209962413,0.275050761,0.164400569,0.145184158,0.190191247,0.113679196,0.279949884,0.366734348,0.219200759,0.181480197,0.237739058,0.142098994,0.349937355,0.458417935,0.274000949
1100,0.021499816,0.028379757,0.016748357,0.041720474,0.055071025,0.032500249,0.042999632,0.056759515,0.033496714,0.083440948,0.110142051,0.065000498,0.073361401,0.085139272,0.05024507,0.125161422,0.165213076,0.097500747,0.085999265,0.113519029,0.066993427,0.166881895,0.220284102,0.130000997,0.107499081,0.141898787,0.083741784,0.208602369,0.275355127,0.162501246
1200,0.013134194,0.017455344,0.010165866,0.025610165,0.034035909,0.019822268,0.026268389,0.034910688,0.020331733,0.05122033,0.068071818,0.039644535,0.044924529,0.052366033,0.030497599,0.076830495,0.102107727,0.059466803,0.052536777,0.069821377,0.040663466,0.102440659,0.136143636,0.07928907,0.065670972,0.087276721,0.050829332,0.128050824,0.170179546,0.099111338
1300,0.008262464,0.011046914,0.006362097,0.016171437,0.021621211,0.012452006,0.016524927,0.022093828,0.012724194,0.032342873,0.043242422,0.024904013,0.028314227,0.033140742,0.019086291,0.04851431,0.064863633,0.037356019,0.033049855,0.044187656,0.025448388,0.064685747,0.086484844,0.049808025,0.041312318,0.05523457,0.031810485,0.080857184,0.108106055,0.062260031
1400,0.005321045,0.007151484,0.004081241,0.010445506,0.01403876,0.008011703,0.01064209,0.014302969,0.008162483,0.020891012,0.02807752,0.016023406,0.0182616,0.021454453,0.012243724,0.031336518,0.04211628,0.024035109,0.02128418,0.028605938,0.016324966,0.041782024,0.05615504,0.032046812,0.026605225,0.035757422,0.020406207,0.052227529,0.0701938,0.040058515
1500,0.003214462,0.004345952,0.002452634,0.006325347,0.008551869,0.00482624,0.006428923,0.008691904,0.004905268,0.012650694,0.017103739,0.00965248,0.011045158,0.013037856,0.007357902,0.018976042,0.025655608,0.01447872,0.012857846,0.017383808,0.009810537,0.025301389,0.034207478,0.01930496,0.016072308,0.02172976,0.012263171,0.031626736,0.042759347,0.024131199
1600,0.002352959,0.003200025,0.001785896,0.004639217,0.006309335,0.003521166,0.004705919,0.006400049,0.003571792,0.009278434,0.01261867,0.007042331,0.008092919,0.009600074,0.005357688,0.013917651,0.018928005,0.010563497,0.009411837,0.012800099,0.007143585,0.018556867,0.02523734,0.014084662,0.011764797,0.016000124,0.008929481,0.023196084,0.031546675,0.017605828
1700,0.001771568,0.002419961,0.001339305,0.003498613,0.004779105,0.002644951,0.003543135,0.004839923,0.00267861,0.006997225,0.00955821,0.005289902,0.006098211,0.007259884,0.004017915,0.010495838,0.014337315,0.007934853,0.00708627,0.009679845,0.00535722,0.013994451,0.019116419,0.010579805,0.008857838,0.012099807,0.006696525,0.017493063,0.023895524,0.013224756
1800,0.001369231,0.001879954,0.001031031,0.002707747,0.003717736,0.002038933,0.002738462,0.003759908,0.002062062,0.005415493,0.007435473,0.004077867,0.00471648,0.005639862,0.003093092,0.00812324,0.011153209,0.0061168,0.005476923,0.007519816,0.004124123,0.010830987,0.014870945,0.008155733,0.006846154,0.00939977,0.005155154,0.013538734,0.018588681,0.010194666
